Entity,Code,Year,Fossil fuels (TWh)
Australia,AUS,1965,402.0766
Australia,AUS,1970,539.1938
Australia,AUS,1980,803.1974
Australia,AUS,1990,986.9913
Australia,AUS,2000,1253.1943
Australia,AUS,2010,1443.7653
Australia,AUS,2022,1421.0679
India,IND,1965,562.77496
India,IND,1970,670.0288
India,IND,1980,1047.7122
India,IND,1990,2086.0105
India,IND,2000,3446.0303
India,IND,2010,5770.7314
India,IND,2022,8954.851
Japan,JPN,1965,1598.5547
Japan,JPN,1970,3034.7344
Japan,JPN,1980,3765.8823
Japan,JPN,1990,4374.0117
Japan,JPN,2000,5035.6113
Japan,JPN,2010,4790.777
Japan,JPN,2022,4206.433
South Africa,ZAF,1965,354.1191
South Africa,ZAF,1970,421.40396
South Africa,ZAF,1980,642.93085
South Africa,ZAF,1990,1002.7082
South Africa,ZAF,2000,1143.6597
South Africa,ZAF,2010,1422.0035
South Africa,ZAF,2022,1261.5311
United Kingdom,GBR,1965,2259.641
United Kingdom,GBR,1970,2463.8206
United Kingdom,GBR,1980,2264.3804
United Kingdom,GBR,1990,2304.7695
United Kingdom,GBR,2000,2392.8765
United Kingdom,GBR,2010,2224.9375
United Kingdom,GBR,2022,1519.5665
United States,USA,1965,13797.927
United States,USA,1970,17339.508
United States,USA,1980,19084.836
United States,USA,1990,19815.52
United States,USA,2000,23224.576
United States,USA,2010,22173.703
United States,USA,2022,21595.023
