Entity,Code,Year,"Death rate per 100,000 people - Cause: Cocaine use disorders - Sex: Both sexes - Age group: ALLAges"
Hungary,HUN,2000,0.01
Hungary,HUN,2005,0.01
Hungary,HUN,2010,0.01
Hungary,HUN,2015,0.02
Hungary,HUN,2019,0.01
Mongolia,MNG,2000,0.03
Mongolia,MNG,2005,0.04
Mongolia,MNG,2010,0.04
Mongolia,MNG,2015,0.04
Mongolia,MNG,2019,0.04
Netherlands,NLD,2000,0.04
Netherlands,NLD,2005,0.03
Netherlands,NLD,2010,0.03
Netherlands,NLD,2015,0.05
Netherlands,NLD,2019,0.05
Poland,POL,2000,0.01
Poland,POL,2005,0.01
Poland,POL,2010,0.01
Poland,POL,2015,0.02
Poland,POL,2019,0.02
Rwanda,RWA,2000,0.04
Rwanda,RWA,2005,0.03
Rwanda,RWA,2010,0.03
Rwanda,RWA,2015,0.03
Rwanda,RWA,2019,0.03
