Entity,Code,Year,bottom_trawl
China,CHN,1950,48346.469457966
China,CHN,1960,248742.35079101997
China,CHN,1970,456375.9115223389
China,CHN,1980,834791.2407131
China,CHN,1990,2600338.4856300005
China,CHN,2000,5782699.51131
China,CHN,2010,6063279.1433999995
China,CHN,2018,7325753.0457052
France,FRA,1950,91934.7800928
France,FRA,1960,171245.938923
France,FRA,1970,172030.70115680003
France,FRA,1980,227398.97283859996
France,FRA,1990,272404.5125542001
France,FRA,2000,272049.0277748001
France,FRA,2010,141507.10353216
France,FRA,2018,112089.37618958602
India,IND,1950,3717.9
India,IND,1960,7314.096079864001
India,IND,1970,205516.281271
India,IND,1980,411083.526039272
India,IND,1990,926576.163068
India,IND,2000,1307586.396814
India,IND,2010,1788191.6287300002
India,IND,2018,2183784.309428
Norway,NOR,1950,96021.35693425302
Norway,NOR,1960,306838.267020985
Norway,NOR,1970,333204.73048147204
Norway,NOR,1980,455322.6403297
Norway,NOR,1990,444758.96275137
Norway,NOR,2000,315569.80433490005
Norway,NOR,2010,407535.540496218
Norway,NOR,2018,859279.6995215401
Spain,ESP,1950,1036120.1448704
Spain,ESP,1960,1635318.8123785
Spain,ESP,1970,2143920.3084643
Spain,ESP,1980,1524652.8448181
Spain,ESP,1990,1429875.2571118
Spain,ESP,2000,879942.6902695
Spain,ESP,2010,595740.626118184
Spain,ESP,2018,693683.28440234
United Kingdom,GBR,1950,438733.497575784
United Kingdom,GBR,1960,462390.46816940006
United Kingdom,GBR,1970,491370.81297342305
United Kingdom,GBR,1980,220120.24799067
United Kingdom,GBR,1990,245994.142329461
United Kingdom,GBR,2000,242475.45758371204
United Kingdom,GBR,2010,130508.692963306
United Kingdom,GBR,2018,129985.10413639
United States,USA,1950,550379.7532246602
United States,USA,1960,599648.73252657
United States,USA,1970,520058.1211691001
United States,USA,1980,442865.87924094
United States,USA,1990,1523950.6993045595
United States,USA,2000,799537.70439968
United States,USA,2010,604476.1830845099
United States,USA,2018,791935.8879247559
