Entity,Code,Year,Share of the daily caloric intake that comes from carbohydrates,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2011,71.23693,,1082676070.0,
Africa,,2020,70.95687,,1360677453.0,
Argentina,ARG,2011,57.078773,24647.629,41520736.0,
Argentina,ARG,2020,53.028156,19685.217,45036032.0,
Asia,,2011,66.19489,,4268479060.0,
Asia,,2020,64.058334,,4663086623.0,
Austria,AUT,2011,47.15068,53179.15,8391201.0,
Austria,AUT,2020,43.815308,51988.414,8907780.0,
Bangladesh,BGD,2011,80.84698,3571.0586,150211008.0,
Bangladesh,BGD,2020,78.149124,5591.374,167420944.0,
Belize,BLZ,2011,65.33569,8776.863,329546.0,
Belize,BLZ,2020,57.599346,7703.118,394931.0,
Benin,BEN,2011,74.008514,2633.939,9726385.0,
Benin,BEN,2020,71.548454,3186.478,12643121.0,
Bolivia,BOL,2011,66.01382,6724.301,10396249.0,
Bolivia,BOL,2020,64.84265,7679.933,11936169.0,
Brazil,BRA,2011,56.23581,15271.47,198185296.0,
Brazil,BRA,2020,51.160633,14021.958,213196304.0,
Bulgaria,BGR,2011,58.88873,18664.834,7543128.0,
Bulgaria,BGR,2020,49.98687,22483.598,6979181.0,
Burkina Faso,BFA,2011,67.779106,1720.0825,16602652.0,
Burkina Faso,BFA,2020,64.40065,2093.7336,21522632.0,
Burundi,BDI,2020,82.553894,711.3553,12220229.0,
Burundi,BDI,2011,,807.665,9455737.0,
Chad,TCD,2011,61.558617,1682.6577,12317729.0,
Chad,TCD,2020,59.753002,1489.1868,16644707.0,
Cote d'Ivoire,CIV,2011,76.061165,3404.5247,21562916.0,
Cote d'Ivoire,CIV,2020,75.87201,5098.56,26811792.0,
Democratic Republic of Congo,COD,2011,83.69483,870.0738,68654272.0,
Democratic Republic of Congo,COD,2020,84.505554,1044.0712,92853168.0,
Ecuador,ECU,2011,55.36339,10988.722,15237734.0,
Ecuador,ECU,2020,57.114902,10356.975,17588596.0,
Egypt,EGY,2011,72.577065,9762.974,89200056.0,
Egypt,EGY,2020,71.8665,11380.847,107465128.0,
Ethiopia,ETH,2011,76.40979,1336.0669,91817936.0,
Ethiopia,ETH,2020,76.73453,2253.2358,117190920.0,
Europe,,2011,53.523617,,738734474.0,
Europe,,2020,51.31228,,747462669.0,
France,FRA,2011,46.09447,42862.414,62775272.0,
France,FRA,2020,47.677784,42233.14,64480052.0,
Gambia,GMB,2011,64.53451,1934.7279,1998215.0,
Gambia,GMB,2020,71.07812,2042.6202,2574005.0,
Greece,GRC,2011,46.751823,30318.404,11004730.0,
Greece,GRC,2020,45.722206,27103.541,10512232.0,
Grenada,GRD,2011,59.154785,12493.164,114933.0,
Grenada,GRD,2020,54.369476,13175.423,123672.0,
High-income countries,,2011,51.145317,44578.17,1162275154.0,
High-income countries,,2020,49.22169,47614.09,1218093003.0,
Iceland,ISL,2011,45.23708,48186.168,319308.0,
Iceland,ISL,2020,41.480186,52174.574,366682.0,
Iran,IRN,2011,66.90574,15302.202,76342968.0,
Iran,IRN,2020,65.49369,14432.362,87290192.0,
Italy,ITA,2011,48.032726,42892.305,60025952.0,
Italy,ITA,2020,49.429417,39065.28,59500576.0,
Japan,JPN,2011,58.329235,38149.617,128007256.0,
Japan,JPN,2020,56.339306,39935.465,125244760.0,
Kenya,KEN,2011,70.271255,3824.1975,42635148.0,
Kenya,KEN,2020,68.8404,4498.383,51985780.0,
Kiribati,KIR,2011,53.799736,1819.6566,109887.0,
Kiribati,KIR,2020,56.24821,1944.8469,126473.0,
Laos,LAO,2011,75.93092,5103.549,6416331.0,
Laos,LAO,2020,72.190475,7763.9487,7319397.0,
Latvia,LVA,2011,53.445362,22117.406,2076974.0,
Latvia,LVA,2020,48.555454,30568.502,1897057.0,
Low-income countries,,2011,73.33899,1775.3773,536034115.0,
Low-income countries,,2020,73.08585,1970.1681,680258922.0,
Lower-middle-income countries,,2011,71.01555,5510.2036,2960590210.0,
Lower-middle-income countries,,2020,68.712204,6930.9463,3369707355.0,
Macao,MAC,2011,45.551254,135365.39,571014.0,
Macao,MAC,2020,47.61699,55158.71,676287.0,
Madagascar,MDG,2011,80.682076,1493.4425,22348158.0,
Madagascar,MDG,2020,80.55291,1436.2069,28225182.0,
Malawi,MWI,2011,75.74352,1383.5809,15146095.0,
Malawi,MWI,2020,71.82556,1489.6014,19377058.0,
Micronesia (country),FSM,2020,47.048744,3455.7166,112119.0,
Micronesia (country),FSM,2011,,3601.8945,107897.0,
Mongolia,MNG,2011,51.700935,8685.78,2743946.0,
Mongolia,MNG,2020,44.156418,11666.779,3294340.0,
Morocco,MAR,2011,70.78154,6064.432,32903708.0,
Morocco,MAR,2020,67.81485,7545.995,36688768.0,
Mozambique,MOZ,2011,75.41212,1092.7732,23760424.0,
Mozambique,MOZ,2020,74.342766,1232.9856,31178242.0,
Myanmar,MMR,2011,60.963882,3018.4617,49794528.0,
Myanmar,MMR,2020,56.072796,4947.0938,53423200.0,
Nauru,NRU,2020,41.71827,11958.172,12339.0,
Nauru,NRU,2011,,7160.599,10303.0,
New Zealand,NZL,2011,50.392654,38137.492,4381274.0,
New Zealand,NZL,2020,54.08805,41642.027,5061130.0,
Nicaragua,NIC,2011,68.134605,4805.4023,5942554.0,
Nicaragua,NIC,2020,67.12631,5181.727,6755900.0,
Niger,NER,2011,67.89063,1010.32697,17283118.0,
Niger,NER,2020,68.61506,1214.5465,24333644.0,
Nigeria,NGA,2011,71.282295,4975.638,165463744.0,
Nigeria,NGA,2020,71.238884,4865.087,208327408.0,
North America,,2011,52.766876,,548684151.0,
North America,,2020,50.727184,,594263186.0,
Oceania,,2011,49.532124,,37730469.0,
Oceania,,2020,50.66245,,43933757.0,
Oman,OMN,2011,63.061356,37745.453,3206883.0,
Oman,OMN,2020,62.224228,33098.21,4543406.0,
Pakistan,PAK,2011,62.311844,4082.4495,198602736.0,
Pakistan,PAK,2020,59.57531,5004.352,227196736.0,
Paraguay,PRY,2011,58.876186,11613.169,5843938.0,
Paraguay,PRY,2020,61.5175,13317.321,6618700.0,
Peru,PER,2011,69.86583,10539.982,29477722.0,
Peru,PER,2020,66.65155,11176.919,33304768.0,
Philippines,PHL,2011,72.152824,5995.431,96337912.0,
Philippines,PHL,2020,74.861694,7773.2603,112190984.0,
Poland,POL,2011,55.982426,24874.172,38620848.0,
Poland,POL,2020,54.386868,32546.826,38428368.0,
Qatar,QAT,2020,55.707924,89019.07,2760390.0,
Qatar,QAT,2011,,111879.75,1804175.0,
Russia,RUS,2011,60.552685,24972.078,143364544.0,
Russia,RUS,2020,56.38333,26583.797,145617328.0,
Saudi Arabia,SAU,2011,61.292625,44053.996,30150952.0,
Saudi Arabia,SAU,2020,62.16395,42891.688,35997108.0,
Senegal,SEN,2011,61.073437,2790.8975,12875878.0,
Senegal,SEN,2020,65.4351,3383.8884,16436120.0,
South America,,2011,58.772583,,397135158.0,
South America,,2020,55.296307,,431530105.0,
Spain,ESP,2011,46.109158,36863.492,46729232.0,
Spain,ESP,2020,45.134464,35967.89,47363808.0,
Sri Lanka,LKA,2011,74.8275,10190.35,20859746.0,
Sri Lanka,LKA,2020,73.90263,13095.761,21715076.0,
