Entity,Code,Year,"14.1.1 - Chlorophyll-a deviations, remote sensing (%) - EN_MAR_CHLDEV"
Dominica,DMA,2005,0.2
Dominica,DMA,2008,0.18
Dominica,DMA,2010,22.15
Dominica,DMA,2012,0.66
Dominica,DMA,2014,0.55
Dominica,DMA,2016,13.44
Dominica,DMA,2018,1.18
Dominica,DMA,2020,0.86
Dominica,DMA,2022,5.1
Ecuador,ECU,2005,2.07
Ecuador,ECU,2008,0.97
Ecuador,ECU,2010,1.61
Ecuador,ECU,2012,3.66
Ecuador,ECU,2014,2.01
Ecuador,ECU,2016,3.21
Ecuador,ECU,2018,1.59
Ecuador,ECU,2020,3.82
Ecuador,ECU,2022,1.08
Latin America and the Caribbean (UN),,2005,4.05
Latin America and the Caribbean (UN),,2008,4.49
Latin America and the Caribbean (UN),,2010,5.61
Latin America and the Caribbean (UN),,2012,4.81
Latin America and the Caribbean (UN),,2014,4.71
Latin America and the Caribbean (UN),,2016,3.91
Latin America and the Caribbean (UN),,2018,3.83
Latin America and the Caribbean (UN),,2020,4.68
Latin America and the Caribbean (UN),,2022,2.97
Solomon Islands,SLB,2005,3.75
Solomon Islands,SLB,2008,1.6
Solomon Islands,SLB,2010,12.52
Solomon Islands,SLB,2012,0.81
Solomon Islands,SLB,2014,1.97
Solomon Islands,SLB,2016,1.98
Solomon Islands,SLB,2018,1.16
Solomon Islands,SLB,2020,2.11
Solomon Islands,SLB,2022,0.51
Vietnam,VNM,2005,6.29
Vietnam,VNM,2008,3.44
Vietnam,VNM,2010,1.65
Vietnam,VNM,2012,2.92
Vietnam,VNM,2014,2.09
Vietnam,VNM,2016,2.08
Vietnam,VNM,2018,2.55
Vietnam,VNM,2020,3.42
Vietnam,VNM,2022,1.19
