Entity,Code,Year,Electricity from fossil fuels - TWh (adapted for visualization of chart elec-mix-bar),Electricity from nuclear - TWh (adapted for visualization of chart elec-mix-bar),Electricity from renewables - TWh (adapted for visualization of chart elec-mix-bar)
Antigua and Barbuda,ATG,2021,0.33,0.0,0.02
Belize,BLZ,2021,0.4,0.0,0.24
Chad,TCD,2021,0.3,0.0,0.01
Cote d'Ivoire,CIV,2021,7.67,0.0,3.31
Democratic Republic of Congo,COD,2021,0.03,0.0,11.01
Fiji,FJI,2021,0.41,0.0,0.73
Germany,DEU,2021,276.5,69.13,230.8
Germany,DEU,2022,280.96,35.86,243.73
Madagascar,MDG,2021,1.37,0.0,0.72
North America,,2021,2958.1099,878.44,1419.84
North America,,2022,3111.6265,909.636,1517.7882
Saint Vincent and the Grenadines,VCT,2021,0.12,0.0,0.04
Suriname,SUR,2021,1.0,0.0,1.02
United Kingdom,GBR,2021,140.57,45.9,122.18
United Kingdom,GBR,2022,143.42,47.72,134.95
Vietnam,VNM,2021,140.61,0.0,104.26
Vietnam,VNM,2022,129.25,0.0,130.73
