Entity,Code,Year,Sexual violence prevalence among girls (15 to 19) (UNICEF Global Databases (2014))
Bolivia,BOL,2008,5.0
Cambodia,KHM,2005,0.3
Cameroon,CMR,2011,22.0
Colombia,COL,2010,3.0
Comoros,COM,2012,5.0
Cote d'Ivoire,CIV,2012,5.0
Dominican Republic,DOM,2007,8.0
East Timor,TLS,2010,2.0
Ecuador,ECU,2004,6.0
Gabon,GAB,2012,14.0
Guatemala,GTM,2009,3.0
Haiti,HTI,2012,10.0
Honduras,HND,2012,6.0
India,IND,2006,5.0
Jamaica,JAM,2008,11.0
Kazakhstan,KAZ,2011,1.0
Kenya,KEN,2009,11.0
Liberia,LBR,2007,13.0
Moldova,MDA,2005,7.0
Nicaragua,NIC,2007,7.0
Philippines,PHL,2008,5.0
Rwanda,RWA,2010,12.0
Sao Tome and Principe,STP,2009,9.0
Tanzania,TZA,2010,13.0
Uganda,UGA,2011,19.0
Ukraine,UKR,2007,0.3
Zambia,ZMB,2007,16.0
Zimbabwe,ZWE,2011,18.0
