Entity,Code,Year,"Current number of cases of mental disorders per 100 people, in both sexes aged age-standardized"
Azerbaijan,AZE,1990,10.010897
Azerbaijan,AZE,1995,10.114184
Azerbaijan,AZE,2000,10.386742
Azerbaijan,AZE,2005,10.282437
Azerbaijan,AZE,2010,9.875719
Azerbaijan,AZE,2015,9.7846155
Azerbaijan,AZE,2019,9.771523
Libya,LBY,1990,14.0829
Libya,LBY,1995,14.155274
Libya,LBY,2000,14.258222
Libya,LBY,2005,14.262894
Libya,LBY,2010,14.204742
Libya,LBY,2015,14.508626
Libya,LBY,2019,14.740755
North Korea,PRK,1990,10.927331
North Korea,PRK,1995,11.022796
North Korea,PRK,2000,11.140837
North Korea,PRK,2005,11.125515
North Korea,PRK,2010,11.0822735
North Korea,PRK,2015,11.156109
North Korea,PRK,2019,11.178427
Pakistan,PAK,1990,12.267362
Pakistan,PAK,1995,12.160594
Pakistan,PAK,2000,12.2467985
Pakistan,PAK,2005,12.327442
Pakistan,PAK,2010,12.321876
Pakistan,PAK,2015,12.417287
Pakistan,PAK,2019,12.590457
