Entity,Code,Year,"Deaths that are from diarrheal diseases per 100,000 people, in both sexes aged age-standardized"
Brunei,BRN,1990,2.0850198
Brunei,BRN,1995,1.942112
Brunei,BRN,2000,1.9036868
Brunei,BRN,2005,1.7901084
Brunei,BRN,2010,1.8506197
Brunei,BRN,2015,2.062804
Brunei,BRN,2019,1.8661242
Cote d'Ivoire,CIV,1990,111.35639
Cote d'Ivoire,CIV,1995,111.86944
Cote d'Ivoire,CIV,2000,97.35671
Cote d'Ivoire,CIV,2005,76.44788
Cote d'Ivoire,CIV,2010,63.12821
Cote d'Ivoire,CIV,2015,57.09336
Cote d'Ivoire,CIV,2019,43.619717
Maldives,MDV,1990,28.709429
Maldives,MDV,1995,19.675823
Maldives,MDV,2000,12.484373
Maldives,MDV,2005,7.9788723
Maldives,MDV,2010,5.5504074
Maldives,MDV,2015,4.418311
Maldives,MDV,2019,3.9207845
Russia,RUS,1990,1.3622057
Russia,RUS,1995,1.6157361
Russia,RUS,2000,1.2247559
Russia,RUS,2005,0.67252964
Russia,RUS,2010,0.3830441
Russia,RUS,2015,0.32631072
Russia,RUS,2019,0.27743667
Switzerland,CHE,1990,0.76230204
Switzerland,CHE,1995,0.57752585
Switzerland,CHE,2000,0.48530835
Switzerland,CHE,2005,0.68855935
Switzerland,CHE,2010,1.1212054
Switzerland,CHE,2015,1.3740762
Switzerland,CHE,2019,1.165224
United States Virgin Islands,VIR,1990,1.721118
United States Virgin Islands,VIR,1995,1.3943285
United States Virgin Islands,VIR,2000,1.1218857
United States Virgin Islands,VIR,2005,0.9034734
United States Virgin Islands,VIR,2010,0.88041914
United States Virgin Islands,VIR,2015,0.83052474
United States Virgin Islands,VIR,2019,0.8118091
