Entity,Code,Year,"Deaths that are from all causes attributed to high systolic blood pressure, in both sexes aged all ages"
Cote d'Ivoire,CIV,1990,6655.7036
Cote d'Ivoire,CIV,1995,8924.414
Cote d'Ivoire,CIV,2000,11101.181
Cote d'Ivoire,CIV,2005,12489.771
Cote d'Ivoire,CIV,2010,13571.933
Cote d'Ivoire,CIV,2015,15319.516
Cote d'Ivoire,CIV,2019,16175.204
Croatia,HRV,1990,17152.79
Croatia,HRV,1995,15652.089
Croatia,HRV,2000,15359.782
Croatia,HRV,2005,15056.533
Croatia,HRV,2010,14802.968
Croatia,HRV,2015,14740.975
Croatia,HRV,2019,14717.677
Ireland,IRL,1990,8284.072
Ireland,IRL,1995,8155.1035
Ireland,IRL,2000,7428.4014
Ireland,IRL,2005,5905.478
Ireland,IRL,2010,5075.346
Ireland,IRL,2015,5366.021
Ireland,IRL,2019,5785.8857
Northern Mariana Islands,MNP,1990,26.711926
Northern Mariana Islands,MNP,1995,30.839125
Northern Mariana Islands,MNP,2000,44.41504
Northern Mariana Islands,MNP,2005,48.837666
Northern Mariana Islands,MNP,2010,61.936584
Northern Mariana Islands,MNP,2015,73.37257
Northern Mariana Islands,MNP,2019,80.78472
Palau,PLW,1990,18.001865
Palau,PLW,1995,23.25063
Palau,PLW,2000,29.208488
Palau,PLW,2005,32.882652
Palau,PLW,2010,34.715103
Palau,PLW,2015,38.587612
Palau,PLW,2019,43.220654
Turkmenistan,TKM,1990,5502.257
Turkmenistan,TKM,1995,7403.323
Turkmenistan,TKM,2000,7556.056
Turkmenistan,TKM,2005,9765.394
Turkmenistan,TKM,2010,8475.791
Turkmenistan,TKM,2015,10206.062
Turkmenistan,TKM,2019,11339.458
