Entity,Code,Year,"Share of total deaths that are from all causes attributed to household air pollution from solid fuels, in both sexes aged age-standardized"
African Region (WHO),,1990,11.863036
African Region (WHO),,1995,10.913199
African Region (WHO),,2000,9.962408
African Region (WHO),,2005,9.594838
African Region (WHO),,2010,9.614319
African Region (WHO),,2015,9.2111225
African Region (WHO),,2019,8.912829
Eastern Mediterranean Region (WHO),,1990,9.985694
Eastern Mediterranean Region (WHO),,1995,9.553943
Eastern Mediterranean Region (WHO),,2000,8.425639
Eastern Mediterranean Region (WHO),,2005,7.17528
Eastern Mediterranean Region (WHO),,2010,6.1335955
Eastern Mediterranean Region (WHO),,2015,4.901545
Eastern Mediterranean Region (WHO),,2019,4.2823367
European Region (WHO),,1990,1.5155754
European Region (WHO),,1995,1.2637584
European Region (WHO),,2000,1.02262
European Region (WHO),,2005,0.7790042
European Region (WHO),,2010,0.55423945
European Region (WHO),,2015,0.41421792
European Region (WHO),,2019,0.3406331
Region of the Americas (WHO),,1990,2.6933925
Region of the Americas (WHO),,1995,2.1358314
Region of the Americas (WHO),,2000,1.7255632
Region of the Americas (WHO),,2005,1.5029386
Region of the Americas (WHO),,2010,1.248062
Region of the Americas (WHO),,2015,1.0449173
Region of the Americas (WHO),,2019,0.8567641
South-East Asia Region (WHO),,1990,13.590471
South-East Asia Region (WHO),,1995,12.848528
South-East Asia Region (WHO),,2000,11.962667
South-East Asia Region (WHO),,2005,11.122273
South-East Asia Region (WHO),,2010,9.831172
South-East Asia Region (WHO),,2015,7.9286413
South-East Asia Region (WHO),,2019,6.74044
Western Pacific Region (WHO),,1990,14.101657
Western Pacific Region (WHO),,1995,12.048493
Western Pacific Region (WHO),,2000,9.673659
Western Pacific Region (WHO),,2005,7.813744
Western Pacific Region (WHO),,2010,5.612385
Western Pacific Region (WHO),,2015,4.1420236
Western Pacific Region (WHO),,2019,3.1890106
World,OWID_WRL,1990,8.985511
World,OWID_WRL,1995,8.117975
World,OWID_WRL,2000,7.2924533
World,OWID_WRL,2005,6.526246
World,OWID_WRL,2010,5.6475887
World,OWID_WRL,2015,4.7157927
World,OWID_WRL,2019,4.1004453
