Entity,Code,Year,Gini coefficient of lifespan inequality - Sex: female,Gini coefficient of lifespan inequality - Sex: male
China,CHN,1950,0.36421904,0.37420812
China,CHN,2000,0.12745504,0.14532018
China,CHN,2021,0.08612957,0.10198404
France,FRA,1816,0.42557114,0.44801092
France,FRA,1850,0.39780498,0.41052347
France,FRA,1900,0.36283204,0.38932675
France,FRA,1950,0.15738486,0.18454333
France,FRA,2000,0.084402815,0.112217076
France,FRA,2021,0.07810822,0.098275185
India,IND,1950,0.4368551,0.4109039
India,IND,2000,0.21825348,0.21405545
India,IND,2021,0.14249314,0.15027837
Nigeria,NGA,1950,0.47485158,0.49697745
Nigeria,NGA,2000,0.35045585,0.36544758
Nigeria,NGA,2021,0.28744233,0.28810447
