Entity,Code,Year,Share of non-essential products in total household (World Bank Global Consumption Database)
Azerbaijan,AZE,2010,5.4484344
Burundi,BDI,2010,3.9420898
Ghana,GHA,2010,1.8971914
Honduras,HND,2010,0.99622083
Jamaica,JAM,2010,0.88416821
Kazakhstan,KAZ,2010,3.4936383
Kyrgyzstan,KGZ,2010,1.2365619
Mexico,MEX,2010,0.34677705
Montenegro,MNE,2010,3.0194244
Morocco,MAR,2010,2.2510998
Mozambique,MOZ,2010,0.62499154
Namibia,NAM,2010,1.0821161
Nigeria,NGA,2010,0.48390397
Pakistan,PAK,2010,1.0963081
