Entity,Code,Year,Deaths - Tetanus - Sex: Both - Age: Age-standardized (Rate)
Cuba,CUB,1990,0.02
Cuba,CUB,1995,0.01
Cuba,CUB,2000,0.01
Cuba,CUB,2005,0.01
Cuba,CUB,2010,0.01
Cuba,CUB,2015,0.0
Cuba,CUB,2019,0.0
Grenada,GRD,1990,1.23
Grenada,GRD,1995,0.77
Grenada,GRD,2000,0.61
Grenada,GRD,2005,0.43
Grenada,GRD,2010,0.24
Grenada,GRD,2015,0.12
Grenada,GRD,2019,0.1
Tajikistan,TJK,1990,0.02
Tajikistan,TJK,1995,0.02
Tajikistan,TJK,2000,0.02
Tajikistan,TJK,2005,0.02
Tajikistan,TJK,2010,0.02
Tajikistan,TJK,2015,0.02
Tajikistan,TJK,2019,0.02
