Entity,Code,Year,Total (reported) polio cases
Afghanistan,AFG,1980,880
Afghanistan,AFG,1985,1981
Afghanistan,AFG,1990,48
Afghanistan,AFG,1995,0
Afghanistan,AFG,2000,120
Afghanistan,AFG,2005,9
Afghanistan,AFG,2010,30
Afghanistan,AFG,2015,20
Afghanistan,AFG,2021,47
Malawi,MWI,1980,70
Malawi,MWI,1985,86
Malawi,MWI,1990,3
Malawi,MWI,1995,0
Malawi,MWI,2000,0
Malawi,MWI,2005,0
Malawi,MWI,2010,0
Malawi,MWI,2015,0
Malawi,MWI,2021,1
Nigeria,NGA,1980,816
Nigeria,NGA,1985,959
Nigeria,NGA,1990,1873
Nigeria,NGA,1995,439
Nigeria,NGA,2000,638
Nigeria,NGA,2005,831
Nigeria,NGA,2010,48
Nigeria,NGA,2015,1
Nigeria,NGA,2021,415
Pakistan,PAK,1980,2980
Pakistan,PAK,1985,2159
Pakistan,PAK,1990,777
Pakistan,PAK,1995,508
Pakistan,PAK,2000,199
Pakistan,PAK,2005,28
Pakistan,PAK,2010,144
Pakistan,PAK,2015,56
Pakistan,PAK,2021,9
