Entity,Code,Year,It is important to this person looking after the environment: Very much like me,It is important to this person looking after the environment: Like me,It is important to this person looking after the environment: Somewhat like me,It is important to this person looking after the environment: A little like me,It is important to this person looking after the environment: Not like me,It is important to this person looking after the environment: Not at all like me,It is important to this person looking after the environment: Don't know,It is important to this person looking after the environment: No answer
Brazil,BRA,2014,25.6071,51.66825,12.92018,5.045532,3.284909,0.8780091,0.4542553,0.1417629
China,CHN,2014,9.701136,29.98093,30.94147,16.19616,6.074181,1.970219,0.1816383,4.954268
Egypt,EGY,2014,28.40018,35.26666,19.25765,10.10261,4.35271,2.620188,0.0,0.0
Germany,DEU,2014,11.05091,24.76056,29.17712,21.52995,10.55259,2.489502,0.3022306,0.1371389
Japan,JPN,2014,5.362259,15.02251,26.3201,37.08555,8.309455,0.9005321,6.999591,0.0
Mexico,MEX,2014,39.6,36.4,12.3,7.05,2.2,2.2,0.1,0.15
Morocco,MAR,2014,22.41667,35.33333,14.5,11.41667,4.583333,3.666667,3.833333,4.25
Russia,RUS,2014,14.49996,32.50773,29.18805,18.97222,0.0,0.0,3.878431,0.9536046
Ukraine,UKR,2014,12.61908,26.85557,26.06285,23.25365,8.141969,3.066885,0.0,0.0
United States,USA,2014,14.31003,23.97819,26.59504,22.16597,7.949571,3.12311,0.0,1.878077
