Entity,Code,Year,"Female share of graduates from Science, Technology, Engineering and Mathematics (STEM) programmes, tertiary (%)"
Algeria,DZA,2010,49.1333
Algeria,DZA,2015,53.55399
Algeria,DZA,2018,58.1698
Australia,AUS,1999,33.85777
Australia,AUS,2000,33.79698
Australia,AUS,2005,32.17193
Australia,AUS,2015,31.7331
Germany,DEU,1999,20.88006
Germany,DEU,2000,21.67118
Germany,DEU,2015,26.84921
Poland,POL,2010,39.18401
Poland,POL,2015,43.62705
United Kingdom,GBR,2000,32.31279
United Kingdom,GBR,2005,30.87579
United Kingdom,GBR,2010,30.20385
United Kingdom,GBR,2015,37.96729
