Entity,Code,Year,Deaths - Cause: Falls - Sex: Both sexes - Age group: ALLAges
Benin,BEN,2000,358.71
Benin,BEN,2005,397.46
Benin,BEN,2010,438.73
Benin,BEN,2015,496.5
Benin,BEN,2019,542.81
Pakistan,PAK,2000,5572.36
Pakistan,PAK,2005,5950.09
Pakistan,PAK,2010,7009.6
Pakistan,PAK,2015,7925.62
Pakistan,PAK,2019,8642.13
United Arab Emirates,ARE,2000,212.38
United Arab Emirates,ARE,2005,309.89
United Arab Emirates,ARE,2010,617.3
United Arab Emirates,ARE,2015,492.53
United Arab Emirates,ARE,2019,511.46
