Entity,Code,Year,Deaths - Cause: Poisonings - Sex: Both sexes - Age group: ALLAges
China,CHN,2000,22217.45
China,CHN,2005,27272.27
China,CHN,2010,29560.17
China,CHN,2015,27786.66
China,CHN,2019,25762.31
India,IND,2000,6513.75
India,IND,2005,5782.97
India,IND,2010,4938.3
India,IND,2015,3879.28
India,IND,2019,3540.12
Indonesia,IDN,2000,757.41
Indonesia,IDN,2005,772.23
Indonesia,IDN,2010,816.74
Indonesia,IDN,2015,789.14
Indonesia,IDN,2019,799.7
Russia,RUS,2000,12982.83
Russia,RUS,2005,12638.69
Russia,RUS,2010,8725.92
Russia,RUS,2015,6551.47
Russia,RUS,2019,5564.99
