Entity,Code,Year,Political rights
Argentina,ARG,1972,6
Argentina,ARG,1980,6
Argentina,ARG,1990,1
Argentina,ARG,2000,1
Argentina,ARG,2010,2
Argentina,ARG,2022,2
Australia,AUS,1972,1
Australia,AUS,1980,1
Australia,AUS,1990,1
Australia,AUS,2000,1
Australia,AUS,2010,1
Australia,AUS,2022,1
Botswana,BWA,1972,3
Botswana,BWA,1980,2
Botswana,BWA,1990,1
Botswana,BWA,2000,2
Botswana,BWA,2010,3
Botswana,BWA,2022,3
China,CHN,1972,7
China,CHN,1980,6
China,CHN,1990,7
China,CHN,2000,7
China,CHN,2010,7
China,CHN,2022,7
