Entity,Code,Year,fertilizer_per_capita
China,CHN,1961,3.499962
China,CHN,1970,7.049148
China,CHN,1980,17.799521
China,CHN,1990,25.565859
China,CHN,2000,30.470352
China,CHN,2010,37.64324
China,CHN,2019,35.671277
Europe,,1961,45.659698
Europe,,1970,68.393794
Europe,,1980,84.700359
Europe,,1990,78.54871200000001
Europe,,2000,42.158593
Europe,,2010,39.54899
Europe,,2019,41.061257
India,IND,1961,3.702179
India,IND,1970,5.673616
India,IND,1980,9.671989
India,IND,1990,15.785682
India,IND,2000,17.662077
India,IND,2010,24.555732
India,IND,2019,22.883768
United Kingdom,GBR,1961,37.913537
United Kingdom,GBR,1970,43.914077000000006
United Kingdom,GBR,1980,49.030387000000005
United Kingdom,GBR,1990,52.610582
United Kingdom,GBR,2000,40.597339000000005
United Kingdom,GBR,2010,31.267428
United Kingdom,GBR,2019,29.476781
United States,USA,1961,52.571736
United States,USA,1970,83.6311
United States,USA,1980,102.710815
United States,USA,1990,82.51723
United States,USA,2000,75.183942
United States,USA,2010,71.778116
United States,USA,2019,68.084815
World,OWID_WRL,1961,16.905884
World,OWID_WRL,1970,24.222394
World,OWID_WRL,1980,31.304011
World,OWID_WRL,1990,30.408495
World,OWID_WRL,2000,26.261733
World,OWID_WRL,2010,28.169637
World,OWID_WRL,2019,27.920845999999997
