Entity,Code,Year,Oil production (TWh)
Iraq,IRQ,1900,0.0
Iraq,IRQ,1920,0.0
Iraq,IRQ,1940,29.15641
Iraq,IRQ,1960,552.0412
Iraq,IRQ,1980,1524.3804
Iraq,IRQ,2000,1497.8922
Iraq,IRQ,2022,2573.8372
Norway,NOR,1900,0.0
Norway,NOR,1920,0.0
Norway,NOR,1940,0.0
Norway,NOR,1960,0.0
Norway,NOR,1980,291.3272
Norway,NOR,2000,1861.6567
Norway,NOR,2022,1034.5089
Oman,OMN,1900,0.0
Oman,OMN,1920,0.0
Oman,OMN,1940,0.0
Oman,OMN,1960,0.0
Oman,OMN,1980,164.18195
Oman,OMN,2000,546.8981
Oman,OMN,2022,598.33356
Qatar,QAT,1900,0.0
Qatar,QAT,1920,0.0
Qatar,QAT,1940,0.0
Qatar,QAT,1960,95.50556
Qatar,QAT,1980,275.31665
Qatar,QAT,2000,467.28427
Qatar,QAT,2022,861.59503
Saudi Arabia,SAU,1900,0.0
Saudi Arabia,SAU,1920,0.0
Saudi Arabia,SAU,1940,8.141
Saudi Arabia,SAU,1960,750.4141
Saudi Arabia,SAU,1980,5929.0127
Saudi Arabia,SAU,2000,5099.946
Saudi Arabia,SAU,2022,6665.056
United Arab Emirates,ARE,1900,0.0
United Arab Emirates,ARE,1920,0.0
United Arab Emirates,ARE,1940,0.0
United Arab Emirates,ARE,1960,0.0
United Arab Emirates,ARE,1980,974.6628
United Arab Emirates,ARE,2000,1413.3167
United Arab Emirates,ARE,2022,2106.3857
United States,USA,1900,98.64566
United States,USA,1920,722.4789
United States,USA,1940,2126.813
United States,USA,1960,4046.9492
United States,USA,1980,5584.6494
United States,USA,2000,4042.3733
United States,USA,2022,8832.521
