Entity,Code,Year,Land use: Cropland
Africa,,1600,40571268.0
Africa,,1700,46493796.0
Africa,,1750,48220748.0
Africa,,1800,50810132.0
Africa,,1850,58520504.0
Africa,,1900,76383680.0
Africa,,1950,133605624.0
Africa,,2000,231128110.0
Africa,,2023,286527970.0
Asia (excl. China and India),,1600,68187660.0
Asia (excl. China and India),,1700,73059170.0
Asia (excl. China and India),,1750,80759704.0
Asia (excl. China and India),,1800,90977460.0
Asia (excl. China and India),,1850,103658420.0
Asia (excl. China and India),,1900,136726110.0
Asia (excl. China and India),,1950,204083600.0
Asia (excl. China and India),,2000,280287300.0
Asia (excl. China and India),,2023,308714850.0
Brazil,BRA,1600,99100.71
Brazil,BRA,1700,80894.42
Brazil,BRA,1750,130809.445
Brazil,BRA,1800,226841.11
Brazil,BRA,1850,656921.7
Brazil,BRA,1900,1830326.0
Brazil,BRA,1950,7053310.0
Brazil,BRA,2000,33900350.0
Brazil,BRA,2023,64366144.0
China,CHN,1600,58290380.0
China,CHN,1700,60905110.0
China,CHN,1750,69604880.0
China,CHN,1800,77248040.0
China,CHN,1850,84534470.0
China,CHN,1900,89605560.0
China,CHN,1950,96739304.0
China,CHN,2000,129170000.0
China,CHN,2023,161280000.0
Europe (excl. Russia),,1600,81420264.0
Europe (excl. Russia),,1700,88009980.0
Europe (excl. Russia),,1750,101987330.0
Europe (excl. Russia),,1800,115328900.0
Europe (excl. Russia),,1850,142951580.0
Europe (excl. Russia),,1900,181483140.0
Europe (excl. Russia),,1950,206202030.0
Europe (excl. Russia),,2000,178234910.0
Europe (excl. Russia),,2023,164200160.0
India,IND,1600,30926860.0
India,IND,1700,37425240.0
India,IND,1750,53795988.0
India,IND,1800,77327704.0
India,IND,1850,111152780.0
India,IND,1900,119513670.0
India,IND,1950,149357120.0
India,IND,2000,169533460.0
India,IND,2023,168921300.0
North America,,1600,2627396.8
North America,,1700,4119588.2
North America,,1750,8834534.0
North America,,1800,17604988.0
North America,,1850,52043492.0
North America,,1900,166902740.0
North America,,1950,247942700.0
North America,,2000,259442750.0
North America,,2023,250877620.0
Oceania,,1600,777535.5
Oceania,,1700,742450.75
Oceania,,1750,722546.9
Oceania,,1800,722304.06
Oceania,,1850,895974.3
Oceania,,1900,4729802.0
Oceania,,1950,4623830.0
Oceania,,2000,26685796.0
Oceania,,2023,31201112.0
Russia,RUS,1600,13240234.0
Russia,RUS,1700,15005600.0
Russia,RUS,1750,30302256.0
Russia,RUS,1800,42769924.0
Russia,RUS,1850,62629510.0
Russia,RUS,1900,110496900.0
Russia,RUS,1950,118682240.0
Russia,RUS,2000,126237980.0
Russia,RUS,2023,123249000.0
South America (excl. Brazil),,1600,2886756.8
South America (excl. Brazil),,1700,2687893.8
South America (excl. Brazil),,1750,3318238.2
South America (excl. Brazil),,1800,4066234.5
South America (excl. Brazil),,1850,6546805.0
South America (excl. Brazil),,1900,12665570.0
South America (excl. Brazil),,1950,36048430.0
South America (excl. Brazil),,2000,55388980.0
South America (excl. Brazil),,2023,67325390.0
