Entity,Code,Year,Capture fisheries production (metric tons)
East Asia and Pacific (WB),,1960,11501285.0
East Asia and Pacific (WB),,1970,18154672.0
East Asia and Pacific (WB),,1980,23760464.0
East Asia and Pacific (WB),,1990,31174926.0
East Asia and Pacific (WB),,2000,37840216.0
East Asia and Pacific (WB),,2010,39307864.0
East Asia and Pacific (WB),,2020,38344470.0
Europe and Central Asia (WB),,1960,7822578.0
Europe and Central Asia (WB),,1970,11926735.0
Europe and Central Asia (WB),,1980,12689845.0
Europe and Central Asia (WB),,1990,20760450.0
Europe and Central Asia (WB),,2000,17361916.0
Europe and Central Asia (WB),,2010,14927153.0
Europe and Central Asia (WB),,2020,15061174.0
Latin America and Caribbean (WB),,1960,4671108.0
Latin America and Caribbean (WB),,1970,15442626.0
Latin America and Caribbean (WB),,1980,9645773.0
Latin America and Caribbean (WB),,1990,16177185.0
Latin America and Caribbean (WB),,2000,20010298.0
Latin America and Caribbean (WB),,2010,12277605.0
Latin America and Caribbean (WB),,2020,12685862.0
Middle East and North Africa (WB),,1960,459097.0
Middle East and North Africa (WB),,1970,651290.0
Middle East and North Africa (WB),,1980,979765.1
Middle East and North Africa (WB),,1990,1655711.0
Middle East and North Africa (WB),,2000,2398343.0
Middle East and North Africa (WB),,2010,2743915.0
Middle East and North Africa (WB),,2020,3972118.2
North America (WB),,1960,3643190.0
North America (WB),,1970,4187696.0
North America (WB),,1980,5080765.0
North America (WB),,1990,7306400.5
North America (WB),,2000,5821508.0
North America (WB),,2010,5373083.0
North America (WB),,2020,4993275.0
South Asia (WB),,1960,1613240.0
South Asia (WB),,1970,2582233.0
South Asia (WB),,1980,3117850.0
South Asia (WB),,1990,4239531.0
South Asia (WB),,2000,5763306.5
South Asia (WB),,2010,7433413.0
South Asia (WB),,2020,8493625.0
Sub-Saharan Africa (WB),,1960,1970722.0
Sub-Saharan Africa (WB),,1970,3356925.0
Sub-Saharan Africa (WB),,1980,3087674.0
Sub-Saharan Africa (WB),,1990,4069364.2
Sub-Saharan Africa (WB),,2000,5246605.0
Sub-Saharan Africa (WB),,2010,6019243.5
Sub-Saharan Africa (WB),,2020,7785551.0
