Entity,Code,Year,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Rate)
African Region (WHO),,1990,81.95
African Region (WHO),,1995,77.71
African Region (WHO),,2000,71.24
African Region (WHO),,2005,59.65
African Region (WHO),,2010,48.39
African Region (WHO),,2015,40.49
African Region (WHO),,2019,33.56
Eastern Mediterranean Region (WHO),,1990,27.59
Eastern Mediterranean Region (WHO),,1995,28.38
Eastern Mediterranean Region (WHO),,2000,25.28
Eastern Mediterranean Region (WHO),,2005,21.7
Eastern Mediterranean Region (WHO),,2010,17.71
Eastern Mediterranean Region (WHO),,2015,15.35
Eastern Mediterranean Region (WHO),,2019,13.46
European Region (WHO),,1990,4.72
European Region (WHO),,1995,6.53
European Region (WHO),,2000,6.65
European Region (WHO),,2005,6.71
European Region (WHO),,2010,4.43
European Region (WHO),,2015,3.18
European Region (WHO),,2019,2.68
Region of the Americas (WHO),,1990,6.66
Region of the Americas (WHO),,1995,5.11
Region of the Americas (WHO),,2000,3.67
Region of the Americas (WHO),,2005,2.82
Region of the Americas (WHO),,2010,2.41
Region of the Americas (WHO),,2015,2.15
Region of the Americas (WHO),,2019,2.01
South-East Asia Region (WHO),,1990,68.56
South-East Asia Region (WHO),,1995,58.88
South-East Asia Region (WHO),,2000,53.64
South-East Asia Region (WHO),,2005,42.38
South-East Asia Region (WHO),,2010,35.52
South-East Asia Region (WHO),,2015,30.95
South-East Asia Region (WHO),,2019,27.91
Western Pacific Region (WHO),,1990,17.25
Western Pacific Region (WHO),,1995,13.68
Western Pacific Region (WHO),,2000,11.27
Western Pacific Region (WHO),,2005,9.08
Western Pacific Region (WHO),,2010,6.97
Western Pacific Region (WHO),,2015,6.0
Western Pacific Region (WHO),,2019,5.41
