Entity,Code,Year,Top 1% - Share (Net national wealth) (Estimated)
China,CHN,2000,19.65
China,CHN,2021,32.63
Finland,FIN,2000,17.98
Finland,FIN,2021,18.55
France,FRA,1807,44.13
France,FRA,1950,33.379997
France,FRA,2000,29.33
France,FRA,2021,26.769999
Russia,RUS,2000,39.18
Russia,RUS,2021,47.64
South Africa,ZAF,2000,49.47
South Africa,ZAF,2021,54.92
United Kingdom,GBR,1900,71.56
United Kingdom,GBR,1950,45.11
United Kingdom,GBR,2000,20.34
United Kingdom,GBR,2021,21.3
United States,USA,1950,29.6
United States,USA,2000,32.350002
