Entity,Code,Year,"Share of total deaths that are from all causes attributed to high body-mass index, in both sexes aged age-standardized"
East Asia & Pacific (WB),,1990,2.9211824
East Asia & Pacific (WB),,1995,3.1908815
East Asia & Pacific (WB),,2000,3.7516804
East Asia & Pacific (WB),,2005,4.3678966
East Asia & Pacific (WB),,2010,5.164564
East Asia & Pacific (WB),,2015,6.104678
East Asia & Pacific (WB),,2019,6.7841015
Mauritius,MUS,1990,10.386989
Mauritius,MUS,1995,11.470203
Mauritius,MUS,2000,12.932613
Mauritius,MUS,2005,15.744047
Mauritius,MUS,2010,18.013998
Mauritius,MUS,2015,18.349121
Mauritius,MUS,2019,18.929165
Northern Ireland,,1990,9.49332
Northern Ireland,,1995,9.795991
Northern Ireland,,2000,9.561171
Northern Ireland,,2005,9.518109
Northern Ireland,,2010,9.030295
Northern Ireland,,2015,8.853507
Northern Ireland,,2019,9.049077
Spain,ESP,1990,8.856499
Spain,ESP,1995,9.420315
Spain,ESP,2000,10.061555
Spain,ESP,2005,10.167467
Spain,ESP,2010,9.93927
Spain,ESP,2015,9.685737
Spain,ESP,2019,9.628155
