Entity,Code,Year,dirpop_vote_vdem_owid
Argentina,ARG,1900,0.0
Argentina,ARG,1920,0.0
Argentina,ARG,1940,0.0
Argentina,ARG,1960,0.0
Argentina,ARG,1980,0.0
Argentina,ARG,2000,0.015
Argentina,ARG,2022,0.015
Australia,AUS,1920,0.285
Australia,AUS,1940,0.182
Australia,AUS,1960,0.082
Australia,AUS,1980,0.317
Australia,AUS,2000,0.165
Australia,AUS,2022,0.158
Botswana,BWA,1900,0.0
Botswana,BWA,1920,0.0
Botswana,BWA,1940,0.0
Botswana,BWA,1960,0.0
Botswana,BWA,1980,0.013
Botswana,BWA,2000,0.131
Botswana,BWA,2022,0.013
China,CHN,1900,0.0
China,CHN,1920,0.0
China,CHN,1940,0.0
China,CHN,1960,0.0
China,CHN,1980,0.0
China,CHN,2000,0.0
China,CHN,2022,0.0
