Entity,Code,Year,Share - Question: mh5 - Someone local comfortable speaking about anxiety/depression with someone they know - Answer: Not at all comfortable - Gender: male - Age group: all,Share - Question: mh5 - Someone local comfortable speaking about anxiety/depression with someone they know - Answer: Not at all comfortable - Gender: female - Age group: all,Population,Continent
Africa,,2020,27.31385,25.934032,1360677453.0,
Algeria,DZA,2020,13.632193,9.124729,43451668.0,
Asia,,2020,25.107258,28.115084,4663086623.0,
Austria,AUT,2020,9.118176,15.076739,8907780.0,
Bangladesh,BGD,2020,16.476986,11.270244,167420944.0,
Belgium,BEL,2020,44.149574,50.650677,11561716.0,
Benin,BEN,2020,50.812363,48.90379,12643121.0,
Brazil,BRA,2020,27.73543,27.123953,213196304.0,
Cameroon,CMR,2020,46.925247,36.439762,26491090.0,
Canada,CAN,2020,34.832066,25.583342,37888704.0,
China,CHN,2020,28.89823,37.765503,1424929792.0,
Cote d'Ivoire,CIV,2020,40.212452,36.365948,26811792.0,
Czechia,CZE,2020,29.011911,31.934525,10530951.0,
Ecuador,ECU,2020,21.56232,26.536474,17588596.0,
Egypt,EGY,2020,6.2397633,8.042049,107465128.0,
Estonia,EST,2020,56.30175,60.831467,1329449.0,
Ethiopia,ETH,2020,18.265055,18.131172,117190920.0,
Europe,,2020,32.500786,31.592644,747462669.0,
Finland,FIN,2020,57.762074,47.29543,5529468.0,
France,FRA,2020,55.595814,53.502895,64480052.0,
Germany,DEU,2020,10.867387,8.853578,83328992.0,
Greece,GRC,2020,48.73287,51.30945,10512232.0,
Guinea,GIN,2020,31.931433,43.74939,13205157.0,
Hong Kong,HKG,2020,45.868176,59.001286,7500955.0,
Hungary,HUN,2020,42.42004,42.01649,9750571.0,
India,IND,2020,17.763678,15.467589,1396387072.0,
Indonesia,IDN,2020,33.546677,31.640013,271857984.0,
Japan,JPN,2020,46.918503,47.317062,125244760.0,
Kosovo,OWID_KOS,2020,27.54398,23.09339,1670702.0,
Latvia,LVA,2020,38.71352,49.14321,1897057.0,
Malaysia,MYS,2020,37.546543,40.952103,33199988.0,
Mexico,MEX,2020,31.069124,33.23438,125998296.0,
Nepal,NPL,2020,11.138495,14.317233,29348626.0,
Nicaragua,NIC,2020,26.115927,31.791555,6755900.0,
Nigeria,NGA,2020,42.00424,38.446136,208327408.0,
North America,,2020,36.117657,30.634066,594263186.0,
Norway,NOR,2020,43.240982,32.581615,5379836.0,
Oceania,,2020,34.42822,27.481066,43933757.0,
Russia,RUS,2020,34.636944,36.612034,145617328.0,
Serbia,SRB,2020,32.968185,40.595917,7358010.0,
Slovakia,SVK,2020,17.860544,22.860378,5456681.0,
Slovenia,SVN,2020,23.458582,38.830627,2117648.0,
South America,,2020,29.531935,28.025215,431530105.0,
South Korea,KOR,2020,44.884167,44.10121,51844688.0,
Sri Lanka,LKA,2020,14.492253,15.206528,21715076.0,
Taiwan,TWN,2020,50.910717,54.15069,23821468.0,
Thailand,THA,2020,22.56671,19.956032,71475664.0,
Turkey,TUR,2020,36.35759,49.26925,84135432.0,
Uganda,UGA,2020,24.422878,26.518433,44404608.0,
United Kingdom,GBR,2020,30.964119,24.398169,67059472.0,
United States,USA,2020,38.268513,30.269127,335942016.0,
Vietnam,VNM,2020,29.264662,41.01193,96648680.0,
Zambia,ZMB,2020,37.75887,37.402275,18927716.0,
