Entity,Code,Year,Annual CO₂ emissions from other industry
Brazil,BRA,1990,3688000.0
Brazil,BRA,1995,4104000.0
Brazil,BRA,2000,5008000.0
Brazil,BRA,2005,5356000.0
Brazil,BRA,2010,5950000.0
Brazil,BRA,2015,6392000.0
Brazil,BRA,2020,6392000.0
Brazil,BRA,2022,6392000.0
Bulgaria,BGR,1990,1164025.0
Bulgaria,BGR,1995,765362.0
Bulgaria,BGR,2000,442662.0
Bulgaria,BGR,2005,601786.0
Bulgaria,BGR,2010,1027690.06
Bulgaria,BGR,2015,1304836.0
Bulgaria,BGR,2020,1140842.0
Bulgaria,BGR,2022,1313149.0
Denmark,DNK,1990,819319.0
Denmark,DNK,1995,759109.0
Denmark,DNK,2000,534534.0
Denmark,DNK,2005,446205.0
Denmark,DNK,2010,312688.0
Denmark,DNK,2015,313355.0
Denmark,DNK,2020,402408.0
Denmark,DNK,2022,440223.0
Lithuania,LTU,1990,482133.0
Lithuania,LTU,1995,118507.0
Lithuania,LTU,2000,70990.0
Lithuania,LTU,2005,67163.0
Lithuania,LTU,2010,44790.0
Lithuania,LTU,2015,77377.0
Lithuania,LTU,2020,60945.0
Lithuania,LTU,2022,79171.0
Malta,MLT,1990,1436.0
Malta,MLT,1995,1510.0
Malta,MLT,2000,213.0
Malta,MLT,2005,57.0
Malta,MLT,2010,185.0
Malta,MLT,2015,1886.0
Malta,MLT,2020,191.0
Malta,MLT,2022,152.0
United Kingdom,GBR,1990,3855634.0
United Kingdom,GBR,1995,3984749.0
United Kingdom,GBR,2000,3443769.0
United Kingdom,GBR,2005,4487867.0
United Kingdom,GBR,2010,3568671.0
United Kingdom,GBR,2015,3206267.0
United Kingdom,GBR,2020,2710492.0
United Kingdom,GBR,2022,2548418.0
