Entity,Code,Year,"Death rate per 100,000 people - Cause: Hypertensive heart disease - Sex: Both sexes - Age group: Age-standardized"
Brazil,BRA,2000,16.102833
Brazil,BRA,2005,16.504057
Brazil,BRA,2010,16.196096
Brazil,BRA,2015,13.310179
Brazil,BRA,2019,13.364312
France,FRA,2000,2.9790354
France,FRA,2005,3.0119798
France,FRA,2010,2.6777751
France,FRA,2015,2.9397027
France,FRA,2019,2.6234965
India,IND,2000,14.055871
India,IND,2005,12.327315
India,IND,2010,10.946258
India,IND,2015,10.826169
India,IND,2019,10.172456
Nigeria,NGA,2000,21.089903
Nigeria,NGA,2005,18.194084
Nigeria,NGA,2010,14.960567
Nigeria,NGA,2015,13.637262
Nigeria,NGA,2019,13.472836
Russia,RUS,2000,8.029049
Russia,RUS,2005,10.074399
Russia,RUS,2010,9.783616
Russia,RUS,2015,7.662006
Russia,RUS,2019,6.841423
South Africa,ZAF,2000,42.20381
South Africa,ZAF,2005,39.186497
South Africa,ZAF,2010,37.69223
South Africa,ZAF,2015,34.9889
South Africa,ZAF,2019,29.077686
Sudan,SDN,2000,51.909622
Sudan,SDN,2005,51.6617
Sudan,SDN,2010,50.67681
Sudan,SDN,2015,53.312363
Sudan,SDN,2019,51.392
United States,USA,2000,7.8236938
United States,USA,2005,8.925155
United States,USA,2010,8.668198
United States,USA,2015,9.798234
United States,USA,2019,10.3342705
