Entity,Code,Year,Lettuce | 00000372 || Yield | 005419 || tonnes per hectare
Czechia,CZE,2000,9.0
Czechia,CZE,2010,17.167799
Czechia,CZE,2021,29.9091
Luxembourg,LUX,2000,7.0
Luxembourg,LUX,2010,33.5
Luxembourg,LUX,2021,20.0
Singapore,SGP,2010,24.2297
Singapore,SGP,2021,24.6987
Southern Asia (FAO),,1961,4.6928997
Southern Asia (FAO),,1970,5.087
Southern Asia (FAO),,1980,5.62
Southern Asia (FAO),,1990,6.516
Southern Asia (FAO),,2000,7.2461
Southern Asia (FAO),,2010,9.0391
Southern Asia (FAO),,2021,8.1051
United Kingdom,GBR,1961,19.226799
United Kingdom,GBR,1970,19.0079
United Kingdom,GBR,1980,23.722198
United Kingdom,GBR,1990,29.8083
United Kingdom,GBR,2000,22.3913
United Kingdom,GBR,2010,21.3217
United Kingdom,GBR,2021,23.344799
Western Africa (FAO),,1990,9.146
Western Africa (FAO),,2000,7.3644
Western Africa (FAO),,2010,11.035999
Western Africa (FAO),,2021,21.3944
