Entity,Code,Year,Share of the daily caloric intake that comes from fat,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2020,18.944872,,1360677453.0,
Albania,ALB,2020,30.634354,13256.125,2866850.0,
Algeria,DZA,2020,25.727562,10844.7705,43451668.0,
Argentina,ARG,2020,33.282207,19685.217,45036032.0,
Asia,,2020,24.539661,,4663086623.0,
Austria,AUT,2020,44.710384,51988.414,8907780.0,
Bahrain,BHR,2020,35.178524,47847.84,1477478.0,
Bangladesh,BGD,2020,12.309903,5591.374,167420944.0,
Belarus,BLR,2020,35.831573,19225.574,9633745.0,
Belgium,BEL,2020,42.390823,48978.934,11561716.0,
Brazil,BRA,2020,37.70685,14021.958,213196304.0,
Bulgaria,BGR,2020,39.12854,22483.598,6979181.0,
Burundi,BDI,2020,8.019495,711.3553,12220229.0,
Chad,TCD,2020,26.367157,1489.1868,16644707.0,
Chile,CHL,2020,28.666454,23017.69,19300318.0,
Croatia,HRV,2020,34.169254,26950.719,4096872.0,
Democratic Republic of Congo,COD,2020,9.856936,1044.0712,92853168.0,
Ecuador,ECU,2020,32.87947,10356.975,17588596.0,
Europe,,2020,36.369617,,747462669.0,
Finland,FIN,2020,37.391613,47443.902,5529468.0,
France,FRA,2020,38.767666,42233.14,64480052.0,
Gabon,GAB,2020,18.78246,13903.289,2292583.0,
Germany,DEU,2020,40.88699,51840.33,83328992.0,
Greece,GRC,2020,41.979324,27103.541,10512232.0,
High-income countries,,2020,38.49402,47614.09,1218093003.0,
Ireland,IRL,2020,37.939068,91099.75,4946123.0,
Israel,ISR,2020,36.448383,39351.895,8757487.0,
Japan,JPN,2020,30.473684,39935.465,125244760.0,
Kazakhstan,KAZ,2020,35.58863,25361.508,18979250.0,
Latvia,LVA,2020,39.465614,30568.502,1897057.0,
Low-income countries,,2020,16.6864,1970.1681,680258922.0,
Lower-middle-income countries,,2020,20.94937,6930.9463,3369707355.0,
Luxembourg,LUX,2020,36.413967,111751.31,630401.0,
Micronesia (country),FSM,2020,43.21244,3455.7166,112119.0,
Mongolia,MNG,2020,41.086826,11666.779,3294340.0,
Nauru,NRU,2020,45.921005,11958.172,12339.0,
Netherlands,NLD,2020,35.884975,54275.004,17434562.0,
Nigeria,NGA,2020,19.652494,4865.087,208327408.0,
North America,,2020,37.519833,,594263186.0,
Oceania,,2020,36.66895,,43933757.0,
Oman,OMN,2020,26.180182,33098.21,4543406.0,
Pakistan,PAK,2020,29.328342,5004.352,227196736.0,
Poland,POL,2020,33.35486,32546.826,38428368.0,
Portugal,PRT,2020,37.690693,32011.324,10298186.0,
Qatar,QAT,2020,32.68421,89019.07,2760390.0,
Russia,RUS,2020,31.218666,26583.797,145617328.0,
Saudi Arabia,SAU,2020,26.633154,42891.688,35997108.0,
Slovakia,SVK,2020,44.907124,30867.973,5456681.0,
South America,,2020,33.3742,,431530105.0,
South Korea,KOR,2020,33.054028,42396.76,51844688.0,
Spain,ESP,2020,41.610916,35967.89,47363808.0,
Sudan,SDN,2020,24.86142,3874.8003,44440484.0,
Togo,TGO,2020,23.26672,2066.9707,8442583.0,
United Arab Emirates,ARE,2020,36.874836,67668.29,9287286.0,
United States,USA,2020,42.148247,60167.855,335942016.0,
Vanuatu,VUT,2020,33.33938,2836.8135,311694.0,
Vietnam,VNM,2020,24.211647,10450.622,96648680.0,
World,OWID_WRL,2020,26.77968,16175.776,7840952832.0,
