Entity,Code,Year,Annual CO₂ emissions from flaring
Australia,AUS,1750,0.0
Australia,AUS,1800,0.0
Australia,AUS,1850,0.0
Australia,AUS,1900,0.0
Australia,AUS,1950,0.0
Australia,AUS,2000,7952858.0
Australia,AUS,2022,13280175.0
Cyprus,CYP,1950,0.0
Cyprus,CYP,2000,0.0
Cyprus,CYP,2022,0.0
Malawi,MWI,1950,0.0
Malawi,MWI,2000,0.0
Malawi,MWI,2022,0.0
Palestine,PSE,2000,0.0
Palestine,PSE,2022,0.0
Panama Canal Zone (GCP),,1950,0.0
Sri Lanka,LKA,1950,0.0
Sri Lanka,LKA,2000,0.0
Sri Lanka,LKA,2022,0.0
Tanzania,TZA,1950,0.0
Tanzania,TZA,2000,0.0
Tanzania,TZA,2022,0.0
