Entity,Code,Year,"Adjusted net savings, excluding particulate emission damage (current US$)"
Brazil,BRA,1980,20384578000.0
Brazil,BRA,1990,41604116000.0
Brazil,BRA,2000,34923170000.0
Brazil,BRA,2010,218162870000.0
Brazil,BRA,2020,101320040000.0
Congo,COG,1980,6991490.0
Congo,COG,1990,-528744580.0
Congo,COG,2000,-871124160.0
Congo,COG,2010,-11491470.0
France,FRA,1980,86792580000.0
France,FRA,1990,147870060000.0
France,FRA,2000,176515070000.0
France,FRA,2010,215910220000.0
France,FRA,2020,155469120000.0
Germany,DEU,1990,207882680000.0
Germany,DEU,2000,174819440000.0
Germany,DEU,2010,399547900000.0
Germany,DEU,2020,472642520000.0
Mexico,MEX,1980,29394230000.0
Mexico,MEX,1990,20274815000.0
Mexico,MEX,2000,64423710000.0
Mexico,MEX,2010,82373960000.0
Mexico,MEX,2020,57320374000.0
Portugal,PRT,1980,4588627500.0
Portugal,PRT,1990,12539332000.0
Portugal,PRT,2000,7837766000.0
Portugal,PRT,2010,-4428480500.0
Portugal,PRT,2020,3538209000.0
United Kingdom,GBR,1970,19647502000.0
United Kingdom,GBR,1980,32484592000.0
United Kingdom,GBR,1990,31569551000.0
United Kingdom,GBR,2000,88553540000.0
United Kingdom,GBR,2010,60496670000.0
