Entity,Code,Year,Per capita consumption-based CO₂ emissions,Growth rate - Sex: all - Age: all - Variant: estimates,Population (historical estimates),Continent
Africa,,2021,0.9980523,,1393676724.0,
Albania,ALB,2021,2.0870543,-0.48,2854710.0,
Asia,,2021,4.2430253,,4693332132.0,
Australia,AUS,2021,13.051487,0.97,25921094.0,
Bangladesh,BGD,2021,0.88492537,1.11,169356240.0,
Botswana,BWA,2021,4.4283123,1.48,2588424.0,
Brazil,BRA,2021,2.1566315,0.46,214326224.0,
Brunei,BRN,2021,21.73987,0.82,445382.0,
Bulgaria,BGR,2021,5.8886986,-1.52,6885864.0,
Canada,CAN,2021,13.15688,0.71,38155012.0,
China,CHN,2021,7.2376294,0.0,1425893504.0,
Croatia,HRV,2021,5.657725,-0.93,4060139.0,
Czechia,CZE,2021,10.382813,-0.25,10510748.0,
Denmark,DNK,2021,7.9747047,0.47,5854246.0,
Europe,,2021,7.7724247,,746417727.0,
France,FRA,2021,6.443828,0.09,64531448.0,
Georgia,GEO,2021,3.6650205,-0.25,3757984.0,
Germany,DEU,2021,9.957127,0.04,83408560.0,
High-income countries,,2021,11.631232,0.16,1219584303.0,
Honduras,HND,2021,0.8665808,1.49,10278346.0,
India,IND,2021,1.7389793,0.68,1407563904.0,
Iran,IRN,2021,7.040302,0.76,87923432.0,
Ireland,IRL,2021,9.327258,0.78,4986525.0,
Israel,ISR,2021,8.739394,1.59,8900057.0,
Italy,ITA,2021,7.317426,-0.41,59240336.0,
Jamaica,JAM,2021,2.476031,0.09,2827701.0,
Kuwait,KWT,2021,24.532375,-0.11,4250111.0,
Laos,LAO,2021,3.3184123,1.4,7425055.0,
Lithuania,LTU,2021,7.9802,-1.29,2786652.0,
Low-income countries,,2021,0.11780934,2.62,698782037.0,
Lower-middle-income countries,,2021,1.6451592,1.13,3411037255.0,
Luxembourg,LUX,2021,13.726101,1.44,639330.0,
Malaysia,MYS,2021,7.744011,1.06,33573872.0,
Malta,MLT,2021,19.433935,2.14,526751.0,
Mexico,MEX,2021,3.995392,0.5,126705136.0,
Mongolia,MNG,2021,10.5226,1.53,3347782.0,
Netherlands,NLD,2021,9.381337,0.4,17501696.0,
North America,,2021,11.327762,,597123384.0,
Oceania,,2021,8.57394,,44492065.0,
Oman,OMN,2021,15.371639,1.01,4520474.0,
Portugal,PRT,2021,4.7686496,-0.15,10290109.0,
Qatar,QAT,2021,26.705807,-0.29,2688239.0,
Russia,RUS,2021,9.371125,-0.51,145102752.0,
Saudi Arabia,SAU,2021,17.303928,1.04,35950396.0,
Singapore,SGP,2021,27.71478,0.5,5941063.0,
South America,,2021,2.3941483,,434254167.0,
South Korea,KOR,2021,13.296304,0.0,51830136.0,
Spain,ESP,2021,5.7317705,0.38,47486932.0,
Tajikistan,TJK,2021,1.371936,2.18,9750078.0,
Tanzania,TZA,2021,0.33782172,2.99,63588332.0,
Thailand,THA,2021,3.8793957,0.11,71601104.0,
Ukraine,UKR,2021,4.5168967,-0.91,43531424.0,
United Arab Emirates,ARE,2021,25.750458,0.81,9365149.0,
United States,USA,2021,16.534756,0.3,336997632.0,
Venezuela,VEN,2021,1.4249743,-1.08,28199862.0,
World,OWID_WRL,2021,4.6548448,0.82,7909295104.0,
