Entity,Code,Year,"Share of total deaths that are from all causes attributed to unsafe sanitation, in both sexes aged age-standardized"
Algeria,DZA,1990,0.34262416
Algeria,DZA,1995,0.22600307
Algeria,DZA,2000,0.16055858
Algeria,DZA,2005,0.100909404
Algeria,DZA,2010,0.06744549
Algeria,DZA,2015,0.05006663
Algeria,DZA,2019,0.03776027
High Income (WB),,1990,0.03814554
High Income (WB),,1995,0.019889722
High Income (WB),,2000,0.012989493
High Income (WB),,2005,0.0141092865
High Income (WB),,2010,0.014582737
High Income (WB),,2015,0.013002372
High Income (WB),,2019,0.011113813
Israel,ISR,1990,0.009825504
Israel,ISR,1995,0.008650287
Israel,ISR,2000,0.015738476
Israel,ISR,2005,0.01661804
Israel,ISR,2010,0.023793401
Israel,ISR,2015,0.02485627
Israel,ISR,2019,0.020448986
Italy,ITA,1990,0.0017044516
Italy,ITA,1995,0.00088372856
Italy,ITA,2000,0.00075824105
Italy,ITA,2005,0.001727582
Italy,ITA,2010,0.0032712226
Italy,ITA,2015,0.004835155
Italy,ITA,2019,0.0037684934
Lithuania,LTU,1990,0.020553095
Lithuania,LTU,1995,0.0155160595
Lithuania,LTU,2000,0.008077577
Lithuania,LTU,2005,0.004933909
Lithuania,LTU,2010,0.005990567
Lithuania,LTU,2015,0.009229724
Lithuania,LTU,2019,0.008868523
Low Income (WB),,1990,6.100611
Low Income (WB),,1995,5.5076976
Low Income (WB),,2000,4.858398
Low Income (WB),,2005,4.2953568
Low Income (WB),,2010,3.870523
Low Income (WB),,2015,3.7227829
Low Income (WB),,2019,3.3873656
South Asia (WB),,1990,9.647751
South Asia (WB),,1995,8.755507
South Asia (WB),,2000,7.6242127
South Asia (WB),,2005,6.3521547
South Asia (WB),,2010,5.563919
South Asia (WB),,2015,4.2854156
South Asia (WB),,2019,3.260409
