Entity,Code,Year,"Prevalence of obesity among adults, BMI >= 30 (crude estimate) (%) - Sex: both sexes - Age group: 18+  years","GDP per capita, PPP (constant 2017 international $)",Continent
Afghanistan,AFG,2016,4.5,2101.422,
Albania,ALB,2016,22.3,12294.077,
Algeria,DZA,2016,26.6,11888.323,
Angola,AGO,2016,6.8,7488.1387,
Antigua and Barbuda,ATG,2016,19.1,20267.918,
Argentina,ARG,2016,28.5,23189.527,
Australia,AUS,2016,30.4,48109.203,
Austria,AUT,2016,21.9,53345.742,
Azerbaijan,AZE,2016,19.9,14232.192,
Bahamas,BHS,2016,32.1,33596.637,
Bangladesh,BGD,2016,3.4,4589.0938,
Barbados,BRB,2016,24.8,16156.518,
Belgium,BEL,2016,24.5,49829.926,
Belize,BLZ,2016,22.4,9208.114,
Benin,BEN,2016,8.2,2859.3916,
Bhutan,BTN,2016,5.8,10587.57,
Bolivia,BOL,2016,18.7,8034.173,
Botswana,BWA,2016,16.1,14373.52,
Brunei,BRN,2016,14.7,59980.99,
Burundi,BDI,2016,4.4,764.3366,
Cameroon,CMR,2016,9.5,3667.3228,
Cape Verde,CPV,2016,10.6,6166.314,
Chad,TCD,2016,4.8,1683.4781,
Cyprus,CYP,2016,22.6,36678.098,
Djibouti,DJI,2016,12.2,4291.2974,
Egypt,EGY,2016,31.1,10218.394,
Equatorial Guinea,GNQ,2016,7.4,21566.057,
Eswatini,SWZ,2016,13.5,8113.2397,
Gabon,GAB,2016,13.4,14783.078,
Gambia,GMB,2016,8.7,1889.1381,
Haiti,HTI,2016,20.5,3153.1763,
Honduras,HND,2016,19.4,5287.253,
Ireland,IRL,2016,26.9,72106.8,
Israel,ISR,2016,26.7,38251.297,
Japan,JPN,2016,4.4,40727.97,
Jordan,JOR,2016,33.4,9633.101,
Kazakhstan,KAZ,2016,21.3,24210.863,
Kenya,KEN,2016,6.0,4244.8574,
Kiribati,KIR,2016,45.6,1997.8229,
Kuwait,KWT,2016,37.0,53476.12,
Kyrgyzstan,KGZ,2016,15.4,4912.3823,
Laos,LAO,2016,4.5,6850.581,
Latvia,LVA,2016,25.7,27509.336,
Lebanon,LBN,2016,31.3,17248.19,
Lesotho,LSO,2016,13.5,2688.1345,
Luxembourg,LUX,2016,24.2,116283.7,
Malaysia,MYS,2016,15.3,24859.799,
Marshall Islands,MHL,2016,52.4,4376.169,
Mauritius,MUS,2016,11.5,21328.688,
Micronesia (country),FSM,2016,41.6,3446.0405,
Morocco,MAR,2016,25.6,7632.1855,
Nauru,NRU,2016,60.7,12729.861,
Nepal,NPL,2016,3.8,3244.6743,
Nicaragua,NIC,2016,21.8,5734.355,
Niger,NER,2016,4.7,1143.8607,
Palau,PLW,2016,54.9,18364.48,
Qatar,QAT,2016,33.9,97783.12,
Samoa,WSM,2016,45.5,6214.715,
Singapore,SGP,2016,6.6,91146.09,
Somalia,SOM,2016,6.9,1076.1984,
Switzerland,CHE,2016,21.2,68813.64,
Turkey,TUR,2016,32.2,25996.967,
Vanuatu,VUT,2016,23.5,2921.7578,
Vietnam,VNM,2016,2.1,8545.702,
