Entity,Code,Year,Inequality-adjusted Human Development Index,"GDP per capita, PPP (constant 2017 international $)",Population,Continent
Africa,,2021,,,1393676724.0,
Argentina,ARG,2021,0.72,21527.195,45276788.0,
Asia,,2021,,,4693332132.0,
Belarus,BLR,2021,0.765,19751.203,9578172.0,
Bolivia,BOL,2021,0.549,8052.1772,12079474.0,
Burkina Faso,BFA,2021,0.315,2179.789,22100690.0,
Burundi,BDI,2021,0.302,705.0304,12551215.0,
Chad,TCD,2021,0.251,1425.4945,17179744.0,
China,CHN,2021,0.651,17602.695,1425893504.0,
Egypt,EGY,2021,0.519,11566.05,109262184.0,
Ethiopia,ETH,2021,0.363,2319.0684,120283024.0,
Europe,,2021,,,746417727.0,
France,FRA,2021,0.825,44993.125,64531448.0,
Gabon,GAB,2021,0.554,13813.723,2341185.0,
Germany,DEU,2021,0.883,53179.656,83408560.0,
Ghana,GHA,2021,0.458,5435.238,32833036.0,
Greece,GRC,2021,0.791,29548.04,10445368.0,
Guatemala,GTM,2021,0.46,8926.7,17608484.0,
Guyana,GUY,2021,0.591,21925.188,804571.0,
India,IND,2021,0.475,6592.042,1407563904.0,
Indonesia,IDN,2021,0.585,11858.146,273753184.0,
Iran,IRN,2021,0.686,15004.6875,87923432.0,
Ireland,IRL,2021,0.886,102496.22,4986525.0,
Italy,ITA,2021,0.791,41929.43,59240336.0,
Japan,JPN,2021,0.85,40784.383,124612528.0,
Jordan,JOR,2021,0.617,9223.147,11148288.0,
Kenya,KEN,2021,0.426,4743.4863,53005616.0,
Kiribati,KIR,2021,0.516,1937.0894,128883.0,
Kyrgyzstan,KGZ,2021,0.627,4814.9565,6527742.0,
Liberia,LBR,2021,0.33,1423.2296,5193422.0,
Madagascar,MDG,2021,0.367,1463.6288,28915652.0,
Mexico,MEX,2021,0.621,19086.105,126705136.0,
Mozambique,MOZ,2021,0.3,1226.767,32077074.0,
Namibia,NAM,2021,0.402,9137.797,2530150.0,
Nepal,NPL,2021,0.449,3831.9485,30034988.0,
Nigeria,NGA,2021,0.341,4922.6323,213401328.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Pakistan,PAK,2021,0.38,5232.1426,231402112.0,
Palestine,PSE,2021,0.584,5643.0723,5133393.0,
Panama,PAN,2021,0.64,29037.945,4351264.0,
Peru,PER,2021,0.635,12514.651,33715464.0,
Philippines,PHL,2021,0.574,8094.693,113880336.0,
Russia,RUS,2021,0.751,27960.102,145102752.0,
South Africa,ZAF,2021,0.471,13311.926,59392256.0,
South America,,2021,,,434254167.0,
Sudan,SDN,2021,0.336,3701.069,45657204.0,
Tajikistan,TJK,2021,0.599,3903.32,9750078.0,
Tanzania,TZA,2021,0.418,2581.6997,63588332.0,
Tonga,TON,2021,0.666,6142.857,106034.0,
Turkey,TUR,2021,0.717,31466.56,84775408.0,
Tuvalu,TUV,2021,0.541,4924.0273,11229.0,
Ukraine,UKR,2021,0.726,12943.614,43531424.0,
United States,USA,2021,0.819,63669.71,336997632.0,
Zambia,ZMB,2021,0.39,3236.789,19473132.0,
Zimbabwe,ZWE,2021,0.458,2115.1445,15993525.0,
