Entity,Code,Year,Total days of leave available for the father
Chile,CHL,1970,0
Chile,CHL,1980,0
Chile,CHL,1990,0
Chile,CHL,2000,0
Chile,CHL,2010,7
Chile,CHL,2022,49
Czechia,CZE,1970,0
Czechia,CZE,1980,0
Czechia,CZE,1990,0
Czechia,CZE,2000,1460
Czechia,CZE,2010,720
Czechia,CZE,2022,734
France,FRA,1970,3
France,FRA,1980,3
France,FRA,1990,3
France,FRA,2000,3
France,FRA,2010,15
France,FRA,2022,205
Russia,RUS,1970,0
Russia,RUS,1980,0
Russia,RUS,1990,0
Russia,RUS,2000,475
Russia,RUS,2010,475
Russia,RUS,2022,475
Spain,ESP,1970,1
Spain,ESP,1980,2
Spain,ESP,1990,2
Spain,ESP,2000,2
Spain,ESP,2010,15
Spain,ESP,2022,112
Sudan,SDN,1970,0
Sudan,SDN,1980,0
Sudan,SDN,1990,0
Sudan,SDN,2000,0
Sudan,SDN,2010,0
Sudan,SDN,2022,0
Sweden,SWE,1970,0
Sweden,SWE,1980,374
Sweden,SWE,1990,404
Sweden,SWE,2000,434
Sweden,SWE,2010,434
Sweden,SWE,2022,404
United States,USA,1970,0
United States,USA,1980,0
United States,USA,1990,0
United States,USA,2000,0
United States,USA,2010,0
United States,USA,2022,84
