Entity,Code,Year,Sexual violence prevalence among girls (15 to 19) (UNICEF Global Databases (2014))
Azerbaijan,AZE,2006,0.4
Cambodia,KHM,2005,0.3
Cameroon,CMR,2011,22.0
Colombia,COL,2010,3.0
Democratic Republic of Congo,COD,2007,21.0
Dominican Republic,DOM,2007,8.0
Ecuador,ECU,2004,6.0
El Salvador,SLV,2008,7.0
Ghana,GHA,2008,17.0
Haiti,HTI,2012,10.0
Honduras,HND,2012,6.0
India,IND,2006,5.0
Jamaica,JAM,2008,11.0
Kazakhstan,KAZ,2011,1.0
Kenya,KEN,2009,11.0
Kyrgyzstan,KGZ,2012,0.1
Liberia,LBR,2007,13.0
Mozambique,MOZ,2011,9.0
Nicaragua,NIC,2007,7.0
Nigeria,NGA,2013,6.0
Philippines,PHL,2008,5.0
Rwanda,RWA,2010,12.0
Tanzania,TZA,2010,13.0
Uganda,UGA,2011,19.0
Ukraine,UKR,2007,0.3
Zambia,ZMB,2007,16.0
Zimbabwe,ZWE,2011,18.0
