Entity,Code,Year,share_deforestation_exported
Argentina,ARG,2005,51.058098594688815
Argentina,ARG,2006,47.61664175428471
Argentina,ARG,2007,37.74154225098138
Argentina,ARG,2008,34.37993841506478
Argentina,ARG,2009,43.897396141459616
Argentina,ARG,2010,37.47248691419327
Argentina,ARG,2011,44.357771014340784
Argentina,ARG,2012,62.02275992580781
Argentina,ARG,2013,56.71438880618502
Brazil,BRA,2005,24.41964345354058
Brazil,BRA,2006,24.35075026737904
Brazil,BRA,2007,23.52340951839697
Brazil,BRA,2008,18.54243478235878
Brazil,BRA,2009,16.51288968990269
Brazil,BRA,2010,15.541322215503902
Brazil,BRA,2011,15.268645158978249
Brazil,BRA,2012,19.49510705598454
Brazil,BRA,2013,21.4840766143001
Democratic Republic of Congo,COD,2005,0.4650711336354918
Democratic Republic of Congo,COD,2006,0.4887641423211112
Democratic Republic of Congo,COD,2007,0.7965120680985035
Democratic Republic of Congo,COD,2008,1.0288138695126732
Democratic Republic of Congo,COD,2009,3.316056881861889
Democratic Republic of Congo,COD,2010,1.522499235801118
Democratic Republic of Congo,COD,2011,0.3011271733875988
Democratic Republic of Congo,COD,2012,0.3365696995225908
Democratic Republic of Congo,COD,2013,0.6302198180438507
