Entity,Code,Year,Estimated percent of women who are married or in a union
Eastern Africa,,1970,70.5
Eastern Africa,,1980,69.599998
Eastern Africa,,1990,67.900002
Eastern Africa,,2000,64.5
Eastern Africa,,2010,61.799999
Eastern Africa,,2020,58.5
Eastern Asia,,1970,65.0
Eastern Asia,,1980,65.800003
Eastern Asia,,1990,65.300003
Eastern Asia,,2000,69.900002
Eastern Asia,,2010,68.199997
Eastern Asia,,2020,70.599998
Northern America,,1970,66.699997
Northern America,,1980,63.5
Northern America,,1990,63.299999
Northern America,,2000,59.200001
Northern America,,2010,53.900002
Northern America,,2020,51.599998
Northern Europe,,1970,69.099998
Northern Europe,,1980,64.599998
Northern Europe,,1990,62.400002
Northern Europe,,2000,59.0
Northern Europe,,2010,53.5
Northern Europe,,2020,50.700001
South America,,1970,56.700001
South America,,1980,55.099998
South America,,1990,55.599998
South America,,2000,54.900002
South America,,2010,54.799999
South America,,2020,54.400002
Western Africa,,1970,77.199997
Western Africa,,1980,76.400002
Western Africa,,1990,74.699997
Western Africa,,2000,70.800003
Western Africa,,2010,67.900002
Western Africa,,2020,62.900002
Western Europe,,1970,64.099998
Western Europe,,1980,61.599998
Western Europe,,1990,62.799999
Western Europe,,2000,63.200001
Western Europe,,2010,60.5
Western Europe,,2020,58.299999
World,OWID_WRL,1970,68.800003
World,OWID_WRL,1980,67.5
World,OWID_WRL,1990,66.5
World,OWID_WRL,2000,66.199997
World,OWID_WRL,2010,64.5
World,OWID_WRL,2020,63.700001
