Entity,Code,Year,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate),Population,Continent,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate).1,Year.1
Africa,,1990,,638157571.0,,,
Africa,,2019,,1327701380.0,,,
Algeria,DZA,1990,6.6,25518074.0,,3.61,2019.0
Algeria,DZA,2019,3.61,42705372.0,,3.61,2019.0
Asia,,1990,,3210563750.0,,,
Asia,,2019,,4627738749.0,,,
Bangladesh,BGD,1990,11.78,107147656.0,,4.7,2019.0
Bangladesh,BGD,2019,4.7,165516224.0,,4.7,2019.0
Belarus,BLR,1990,20.27,10428527.0,,18.99,2019.0
Belarus,BLR,2019,18.99,9673971.0,,18.99,2019.0
Belgium,BEL,1990,17.99,9959565.0,,14.96,2019.0
Belgium,BEL,2019,14.96,11510569.0,,14.96,2019.0
Botswana,BWA,1990,18.7,1341480.0,,19.03,2019.0
Botswana,BWA,2019,19.03,2499705.0,,19.03,2019.0
Brazil,BRA,1990,7.25,150706448.0,,5.68,2019.0
Brazil,BRA,2019,5.68,211782880.0,,5.68,2019.0
Central African Republic,CAF,1990,23.66,2809223.0,,19.35,2019.0
Central African Republic,CAF,2019,19.35,5209329.0,,19.35,2019.0
Chile,CHL,1990,20.17,13342876.0,,9.76,2019.0
Chile,CHL,2019,9.76,19039484.0,,9.76,2019.0
China,CHN,1990,20.62,1153704192.0,,6.8,2019.0
China,CHN,2019,6.8,1421864064.0,,6.8,2019.0
Denmark,DNK,1990,23.9,5144626.0,,8.45,2019.0
Denmark,DNK,2019,8.45,5795879.0,,8.45,2019.0
Estonia,EST,1990,26.94,1570676.0,,12.18,2019.0
Estonia,EST,2019,12.18,1327039.0,,12.18,2019.0
Ethiopia,ETH,1990,21.67,47878076.0,,10.13,2019.0
Ethiopia,ETH,2019,10.13,114120592.0,,10.13,2019.0
Europe,,1990,,722286138.0,,,
Europe,,2019,,747418251.0,,,
Finland,FIN,1990,28.38,4986551.0,,13.0,2019.0
Finland,FIN,2019,13.0,5521539.0,,13.0,2019.0
Germany,DEU,1990,14.52,79370192.0,,9.51,2019.0
Germany,DEU,2019,9.51,83148144.0,,9.51,2019.0
Guam,GUM,1990,16.56,138279.0,,18.8,2019.0
Guam,GUM,2019,18.8,168632.0,,18.8,2019.0
Guyana,GUY,1990,30.68,747124.0,,32.62,2019.0
Guyana,GUY,2019,32.62,798761.0,,32.62,2019.0
Hungary,HUN,1990,34.05,10375989.0,,13.68,2019.0
Hungary,HUN,2019,13.68,9771799.0,,13.68,2019.0
India,IND,1990,20.16,870452160.0,,13.8,2019.0
India,IND,2019,13.8,1383112064.0,,13.8,2019.0
Indonesia,IDN,1990,4.03,182159888.0,,2.99,2019.0
Indonesia,IDN,2019,2.99,269582880.0,,2.99,2019.0
Jamaica,JAM,1990,1.68,2392035.0,,2.92,2019.0
Jamaica,JAM,2019,2.92,2813776.0,,2.92,2019.0
Japan,JPN,1990,15.84,123686320.0,,14.21,2019.0
Japan,JPN,2019,14.21,125791680.0,,14.21,2019.0
Kazakhstan,KAZ,1990,22.05,16866574.0,,22.69,2019.0
Kazakhstan,KAZ,2019,22.69,18754260.0,,22.69,2019.0
Kenya,KEN,1990,10.87,23162270.0,,10.89,2019.0
Kenya,KEN,2019,10.89,50951452.0,,10.89,2019.0
Kiribati,KIR,1990,34.65,75140.0,,26.55,2019.0
Kiribati,KIR,2019,26.55,124252.0,,26.55,2019.0
Laos,LAO,1990,13.52,4314442.0,,6.35,2019.0
Laos,LAO,2019,6.35,7212058.0,,6.35,2019.0
Latvia,LVA,1990,26.55,2689398.0,,15.79,2019.0
Latvia,LVA,2019,15.79,1916552.0,,15.79,2019.0
Lesotho,LSO,1990,23.58,1799004.0,,42.17,2019.0
Lesotho,LSO,2019,42.17,2225710.0,,42.17,2019.0
Mexico,MEX,1990,3.79,81720424.0,,6.01,2019.0
Mexico,MEX,2019,6.01,125085312.0,,6.01,2019.0
Mozambique,MOZ,1990,12.34,13303461.0,,15.96,2019.0
Mozambique,MOZ,2019,15.96,30285602.0,,15.96,2019.0
Nauru,NRU,1990,26.0,9620.0,,22.56,2019.0
Nauru,NRU,2019,22.56,12156.0,,22.56,2019.0
Nepal,NPL,1990,17.52,19616528.0,,12.31,2019.0
Nepal,NPL,2019,12.31,28832500.0,,12.31,2019.0
North America,,1990,,421575397.0,,,
North America,,2019,,590497015.0,,,
Oceania,,1990,,26744211.0,,,
Oceania,,2019,,43278474.0,,,
Pakistan,PAK,1990,8.16,115414072.0,,8.79,2019.0
Pakistan,PAK,2019,8.79,223293280.0,,8.79,2019.0
Puerto Rico,PRI,1990,10.13,3543785.0,,5.57,2019.0
Puerto Rico,PRI,2019,5.57,3292888.0,,5.57,2019.0
Russia,RUS,1990,27.81,148005696.0,,22.77,2019.0
Russia,RUS,2019,22.77,145742288.0,,22.77,2019.0
Rwanda,RWA,1990,18.53,7319970.0,,9.49,2019.0
Rwanda,RWA,2019,9.49,12835029.0,,9.49,2019.0
Singapore,SGP,1990,15.12,3022218.0,,6.59,2019.0
Singapore,SGP,2019,6.59,5866408.0,,6.59,2019.0
Slovakia,SVK,1990,16.98,5261310.0,,9.84,2019.0
Slovakia,SVK,2019,9.84,5453932.0,,9.84,2019.0
Solomon Islands,SLB,1990,26.61,324184.0,,24.59,2019.0
Solomon Islands,SLB,2019,24.59,675000.0,,24.59,2019.0
South America,,1990,,297146501.0,,,
South America,,2019,,428318218.0,,,
