Entity,Code,Year,Share of global annual CO₂ emissions
Brazil,BRA,1950,0.33155572
Brazil,BRA,2000,1.3339837
Brazil,BRA,2022,1.3014269
Canada,CAN,1800,0.011171293
Canada,CAN,1850,0.02979589
Canada,CAN,1900,1.0566653
Canada,CAN,1950,2.5995088
Canada,CAN,2000,2.2237942
Canada,CAN,2022,1.4749583
China,CHN,1950,1.329579
China,CHN,2000,14.30987
China,CHN,2022,30.677908
European Union (27),,1800,3.664184
European Union (27),,1850,27.542276
European Union (27),,1900,36.479107
European Union (27),,1950,21.548977
European Union (27),,2000,14.122852
European Union (27),,2022,7.4345164
India,IND,1900,0.61108
India,IND,1950,1.0305117
India,IND,2000,3.8332434
India,IND,2022,7.6168523
South Africa,ZAF,1900,0.11936752
South Africa,ZAF,1950,1.0293068
South Africa,ZAF,2000,1.4834815
South Africa,ZAF,2022,1.0876347
United Kingdom,GBR,1750,100.0
United Kingdom,GBR,1800,95.553825
United Kingdom,GBR,1850,62.18497
United Kingdom,GBR,1900,21.500792
United Kingdom,GBR,1950,8.445998
United Kingdom,GBR,2000,2.231392
United Kingdom,GBR,2022,0.8577556
United States,USA,1800,0.7708191
United States,USA,1850,10.059837
United States,USA,1900,33.94812
United States,USA,1950,42.862854
United States,USA,2000,23.56797
United States,USA,2022,13.613278
