Entity,Code,Year,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - All age ranges or no breaks by age - All areas - Both sexes
Afghanistan,AFG,2020,49
Angola,AGO,2015,54
Chile,CHL,2015,21
Chile,CHL,2017,21
France,FRA,2014,19
France,FRA,2015,18
France,FRA,2017,17
France,FRA,2020,18
France,FRA,2021,19
Germany,DEU,2014,21
Germany,DEU,2015,20
Germany,DEU,2017,19
Germany,DEU,2020,24
Germany,DEU,2021,21
Ireland,IRL,2014,28
Ireland,IRL,2015,26
Ireland,IRL,2017,23
Ireland,IRL,2020,21
Ireland,IRL,2021,20
Mexico,MEX,2014,46
Mexico,MEX,2020,44
Nigeria,NGA,2017,54
Nigeria,NGA,2021,63
Norway,NOR,2014,14
Norway,NOR,2015,15
Norway,NOR,2017,16
Norway,NOR,2020,16
Pakistan,PAK,2014,39
Spain,ESP,2014,29
Spain,ESP,2015,29
Spain,ESP,2017,27
Spain,ESP,2020,26
Spain,ESP,2021,28
Sweden,SWE,2014,18
Sweden,SWE,2015,19
Sweden,SWE,2017,18
Sweden,SWE,2020,18
Sweden,SWE,2021,17
Thailand,THA,2017,18
