Entity,Code,Year,Women's share of population ages 15+ living with HIV (%)
Nigeria,NGA,1990,54.2
Nigeria,NGA,1995,57.0
Nigeria,NGA,2000,58.4
Nigeria,NGA,2005,59.2
Nigeria,NGA,2010,59.2
Nigeria,NGA,2015,61.6
Nigeria,NGA,2021,64.3
Philippines,PHL,1990,28.8
Philippines,PHL,1995,24.6
Philippines,PHL,2000,15.9
Philippines,PHL,2005,9.4
Philippines,PHL,2010,6.6
Philippines,PHL,2015,6.3
Philippines,PHL,2021,6.6
South Africa,ZAF,1990,48.7
South Africa,ZAF,1995,56.3
South Africa,ZAF,2000,61.3
South Africa,ZAF,2005,64.4
South Africa,ZAF,2010,66.3
South Africa,ZAF,2015,66.2
South Africa,ZAF,2021,66.7
United States,USA,1990,25.9
United States,USA,1995,26.7
United States,USA,2000,26.5
United States,USA,2005,25.1
United States,USA,2010,23.7
United States,USA,2015,22.7
United States,USA,2021,22.1
