Entity,Code,Year,Population (future projections),Population (historical estimates)
Africa,,2050,2485135689.0,
Africa,,2100,3924420729.0,
Africa,,1800,,81273172.0
Africa,,1850,,112295370.0
Africa,,1900,,138752199.0
Africa,,1950,,227549730.0
Africa,,2000,,818952374.0
Bonaire Sint Eustatius and Saba,BES,2050,28756.0,
Bonaire Sint Eustatius and Saba,BES,2100,28989.0,
Bonaire Sint Eustatius and Saba,BES,1950,,7016.0
Bonaire Sint Eustatius and Saba,BES,2000,,13984.0
Mongolia,MNG,2050,4518859.0,
Mongolia,MNG,2100,5257220.0,
Mongolia,MNG,1800,,600000.0
Mongolia,MNG,1850,,647952.0
Mongolia,MNG,1900,,696737.0
Mongolia,MNG,1950,,781264.0
Mongolia,MNG,2000,,2450988.0
Palestine,PSE,2050,8861751.0,
Palestine,PSE,2100,12805188.0,
Palestine,PSE,1800,,165944.0
Palestine,PSE,1850,,169606.0
Palestine,PSE,1900,,291751.0
Palestine,PSE,1950,,944814.0
Palestine,PSE,2000,,3139950.0
Slovakia,SVK,2050,5186963.0,
Slovakia,SVK,2100,3854319.0,
Slovakia,SVK,1800,,2140651.0
Slovakia,SVK,1850,,2392070.0
Slovakia,SVK,1900,,2865937.0
Slovakia,SVK,1950,,3465627.0
Slovakia,SVK,2000,,5376700.0
United States,USA,2050,375391968.0,
United States,USA,2100,394041152.0,
United States,USA,1800,,6000000.0
United States,USA,1850,,23599506.0
United States,USA,1900,,74829905.0
United States,USA,1950,,148281552.0
United States,USA,2000,,282398560.0
United States Virgin Islands,VIR,2050,77537.0,
United States Virgin Islands,VIR,2100,37984.0,
United States Virgin Islands,VIR,1800,,18003.0
United States Virgin Islands,VIR,1850,,20416.0
United States Virgin Islands,VIR,1900,,16830.0
United States Virgin Islands,VIR,1950,,27100.0
United States Virgin Islands,VIR,2000,,108199.0
