Entity,Code,Year,Estimated investment - Field: All
Barbados,BRB,2016,30483187
Colombia,COL,2021,13000000
Colombia,COL,2020,2093957
Colombia,COL,2019,3179682
Colombia,COL,2018,0
Colombia,COL,2017,1105459
Colombia,COL,2016,0
Colombia,COL,2014,0
Colombia,COL,2013,0
Hungary,HUN,2021,21000000
Hungary,HUN,2020,7328850
Hungary,HUN,2015,395564595
Hungary,HUN,2019,10598940
Hungary,HUN,2018,44243160
Hungary,HUN,2017,2210919
Hungary,HUN,2016,12419076
Hungary,HUN,2014,3433819
Hungary,HUN,2013,0
Iran,IRN,2018,5395507
