Entity,Code,Year,Fruit | 00002919 || Food available for consumption | 0645pc || kilograms per year per capita,"GDP per capita, PPP (constant 2017 international $)",Continent
Afghanistan,AFG,2020,35.43006,1968.341,
Africa,,2020,65.21218,,
Albania,ALB,2020,190.79599,13256.125,
Algeria,DZA,2020,105.187996,10844.7705,
Angola,AGO,2020,67.47574,6032.275,
Antigua and Barbuda,ATG,2020,126.406975,18275.69,
Argentina,ARG,2020,74.31265,19685.217,
Armenia,ARM,2020,126.044975,13357.697,
Asia,,2020,74.58949,,
Australia,AUS,2020,70.58893,48747.85,
Austria,AUT,2020,90.14712,51988.414,
Bahrain,BHR,2020,110.26172,47847.84,
Bangladesh,BGD,2020,29.441675,5591.374,
Barbados,BRB,2020,65.31736,13805.777,
Benin,BEN,2020,43.830276,3186.478,
Bhutan,BTN,2020,57.18315,10547.052,
Bolivia,BOL,2020,88.95466,7679.933,
Bosnia and Herzegovina,BIH,2020,105.619865,14358.987,
Botswana,BWA,2020,32.424442,13545.674,
Bulgaria,BGR,2020,59.168232,22483.598,
Burkina Faso,BFA,2020,58.807537,2093.7336,
Burundi,BDI,2020,80.19801,711.3553,
Cambodia,KHM,2020,13.755003,4276.1846,
Cameroon,CMR,2020,112.27164,3665.5105,
Central African Republic,CAF,2020,46.787903,847.765,
Chad,TCD,2020,7.046122,1489.1868,
Dominica,DMA,2020,387.17706,10255.761,
Dominican Republic,DOM,2020,353.0411,16768.426,
Egypt,EGY,2020,88.978874,11380.847,
El Salvador,SLV,2020,72.729324,8267.251,
Estonia,EST,2020,74.506615,35883.266,
Ethiopia,ETH,2020,12.311476,2253.2358,
Europe,,2020,83.500626,,
Fiji,FJI,2020,40.01948,10966.925,
Ghana,GHA,2020,179.58931,5263.5264,
Greece,GRC,2020,142.00497,27103.541,
Guinea,GIN,2020,86.31444,2604.1172,
Guyana,GUY,2020,294.04596,18430.57,
Honduras,HND,2020,46.921284,5028.145,
Iraq,IRQ,2020,54.37966,8919.798,
Ireland,IRL,2020,78.457596,91099.75,
Italy,ITA,2020,129.91547,39065.28,
Jamaica,JAM,2020,134.48132,9198.148,
Japan,JPN,2020,33.506306,39935.465,
Kenya,KEN,2020,65.83614,4498.383,
Laos,LAO,2020,111.06084,7763.9487,
Latvia,LVA,2020,51.742172,30568.502,
Malawi,MWI,2020,174.0221,1489.6014,
Mauritius,MUS,2020,36.453037,20224.223,
Mongolia,MNG,2020,13.095884,11666.779,
Mozambique,MOZ,2020,29.432695,1232.9856,
New Zealand,NZL,2020,51.832165,41642.027,
North America,,2020,103.14104,,
Oceania,,2020,99.81255,,
Papua New Guinea,PNG,2020,214.96579,3741.5967,
Rwanda,RWA,2020,136.22801,2067.6416,
Saint Vincent and the Grenadines,VCT,2020,155.48393,13473.595,
Samoa,WSM,2020,157.70592,6062.3667,
Sao Tome and Principe,STP,2020,200.97769,4058.674,
South America,,2020,100.16552,,
Spain,ESP,2020,97.085365,35967.89,
Uganda,UGA,2020,200.88934,2240.4902,
Zambia,ZMB,2020,7.0125837,3183.651,
