Entity,Code,Year,"Number of new cases of hiv/aids, in both sexes aged all ages"
African Region (WHO),,1990,1716678.8
African Region (WHO),,1995,2581305.0
African Region (WHO),,2000,2405363.5
African Region (WHO),,2005,2028997.4
African Region (WHO),,2010,1800206.8
African Region (WHO),,2015,1539597.5
African Region (WHO),,2019,1287112.1
Eastern Mediterranean Region (WHO),,1990,5613.981
Eastern Mediterranean Region (WHO),,1995,16765.482
Eastern Mediterranean Region (WHO),,2000,21228.201
Eastern Mediterranean Region (WHO),,2005,20845.727
Eastern Mediterranean Region (WHO),,2010,25600.62
Eastern Mediterranean Region (WHO),,2015,33541.785
Eastern Mediterranean Region (WHO),,2019,39091.402
European Region (WHO),,1990,42039.79
European Region (WHO),,1995,38516.137
European Region (WHO),,2000,59882.855
European Region (WHO),,2005,65536.63
European Region (WHO),,2010,99703.055
European Region (WHO),,2015,199903.72
European Region (WHO),,2019,190454.27
Region of the Americas (WHO),,1990,158117.33
Region of the Americas (WHO),,1995,131153.47
Region of the Americas (WHO),,2000,161495.73
Region of the Americas (WHO),,2005,159401.4
Region of the Americas (WHO),,2010,180921.89
Region of the Americas (WHO),,2015,212606.28
Region of the Americas (WHO),,2019,220344.83
South-East Asia Region (WHO),,1990,110390.33
South-East Asia Region (WHO),,1995,320820.03
South-East Asia Region (WHO),,2000,340778.03
South-East Asia Region (WHO),,2005,189184.47
South-East Asia Region (WHO),,2010,155658.31
South-East Asia Region (WHO),,2015,152388.3
South-East Asia Region (WHO),,2019,128205.914
Western Pacific Region (WHO),,1990,20526.45
Western Pacific Region (WHO),,1995,63373.35
Western Pacific Region (WHO),,2000,85572.39
Western Pacific Region (WHO),,2005,109339.63
Western Pacific Region (WHO),,2010,106334.46
Western Pacific Region (WHO),,2015,103058.59
Western Pacific Region (WHO),,2019,121667.41
World,OWID_WRL,1990,2057709.5
World,OWID_WRL,1995,3155028.0
World,OWID_WRL,2000,3077182.2
World,OWID_WRL,2005,2575749.8
World,OWID_WRL,2010,2370918.2
World,OWID_WRL,2015,2243665.2
World,OWID_WRL,2019,1989282.2
