Entity,Code,Year,average_farm_size_ha,"GDP per capita, PPP (constant 2017 international $)",Continent
Argentina,ARG,2000,582.4518943,18524.81,
Austria,AUT,2000,34.11345064,46469.86,
Bangladesh,BGD,2000,0.346997986,2267.0754,
Belgium,BEL,2000,23.12072598,43024.14,
Brazil,BRA,2000,72.76153679,11529.486,
Canada,CAN,2000,273.3804627,41338.65,
Cape Verde,CPV,2000,0.996697075,3798.68,
Chile,CHL,2000,83.73786067,15415.754,
Colombia,COL,2000,25.07818309,9138.319,
Cote d'Ivoire,CIV,2000,3.893523742,4052.982,
Cyprus,CYP,2000,4.361335428,32949.79,
Denmark,DNK,2000,49.77918036,48907.01,
Ecuador,ECU,2000,14.65902819,8211.711,
Egypt,EGY,2000,0.825802464,7469.1133,
Ethiopia,ETH,2000,1.026829892,719.00446,
Finland,FIN,2000,72.24448824,39894.195,
Guatemala,GTM,2000,4.5153813,6499.8833,
Hungary,HUN,2000,6.668624782,19412.184,
India,IND,2000,1.329457688,2571.1497,
Iran,IRN,2000,4.07744073,11026.102,
Italy,ITA,2000,7.568337043,43053.934,
Jamaica,JAM,2000,2.169614092,9496.543,
Japan,JPN,2000,1.196804707,36323.094,
Lebanon,LBN,2000,1.917579005,12711.946,
Libya,LBY,2000,10.24349874,27130.469,
Luxembourg,LUX,2000,48.96797153,99301.52,
Madagascar,MDG,2000,0.857976884,1569.6213,
Malta,MLT,2000,0.971653148,27523.588,
Morocco,MAR,2000,5.83568606,4111.6504,
Myanmar,MMR,2000,2.517084112,973.3955,
Nicaragua,NIC,2000,31.34324903,3927.062,
Panama,PAN,2000,11.69594246,14646.033,
Philippines,PHL,2000,2.005249092,4455.6724,
Saudi Arabia,SAU,2000,16.70242336,40234.816,
Senegal,SEN,2000,4.296395957,2620.098,
Spain,ESP,2000,23.90592398,34738.06,
Sri Lanka,LKA,2000,0.47,6154.5464,
Tanzania,TZA,2000,2.447464287,1370.0079,
Thailand,THA,2000,3.161620877,9791.8955,
Tonga,TON,2000,2.623547637,4806.1133,
Trinidad and Tobago,TTO,2000,4.447177018,16190.903,
Tunisia,TUN,2000,10.45226325,7673.194,
United States,USA,2000,178.3538569,50175.74,
Uruguay,URY,2000,287.4040888,14603.773,
Vietnam,VNM,2000,0.714130813,3690.8682,
