Entity,Code,Year,"Deaths that are from all causes attributed to smoking, in both sexes aged all ages",World Bank's income classification,"Deaths that are from all causes attributed to smoking, in both sexes aged all ages.1",Year.1
Afghanistan,AFG,1990,5174.313,Low-income countries,10305.869,2019.0
Afghanistan,AFG,2019,10305.869,Low-income countries,10305.869,2019.0
Albania,ALB,1990,2751.6006,Lower-middle-income countries,4424.722,2019.0
Albania,ALB,2019,4424.722,Upper-middle-income countries,4424.722,2019.0
Algeria,DZA,1990,13779.92,Lower-middle-income countries,21555.373,2019.0
Algeria,DZA,2019,21555.373,Lower-middle-income countries,21555.373,2019.0
American Samoa,ASM,1990,33.550743,Upper-middle-income countries,54.950916,2019.0
American Samoa,ASM,2019,54.950916,Upper-middle-income countries,54.950916,2019.0
Andorra,AND,1990,59.971134,High-income countries,106.49164,2019.0
Andorra,AND,2019,106.49164,High-income countries,106.49164,2019.0
Argentina,ARG,1990,46415.086,Lower-middle-income countries,51306.055,2019.0
Argentina,ARG,2019,51306.055,Upper-middle-income countries,51306.055,2019.0
Australia,AUS,1990,24758.887,High-income countries,18999.145,2019.0
Australia,AUS,2019,18999.145,High-income countries,18999.145,2019.0
Bahamas,BHS,1990,92.52774,High-income countries,155.48254,2019.0
Bahamas,BHS,2019,155.48254,High-income countries,155.48254,2019.0
Bahrain,BHR,1990,310.90292,Upper-middle-income countries,545.49414,2019.0
Bahrain,BHR,2019,545.49414,High-income countries,545.49414,2019.0
Bangladesh,BGD,1990,87247.99,Low-income countries,105711.91,2019.0
Bangladesh,BGD,2019,105711.91,Lower-middle-income countries,105711.91,2019.0
Barbados,BRB,1990,134.8683,Upper-middle-income countries,156.931,2019.0
Barbados,BRB,2019,156.931,High-income countries,156.931,2019.0
Benin,BEN,1990,1516.395,Low-income countries,1938.2441,2019.0
Benin,BEN,2019,1938.2441,Lower-middle-income countries,1938.2441,2019.0
Bhutan,BTN,1990,208.6338,Low-income countries,332.15582,2019.0
Bhutan,BTN,2019,332.15582,Lower-middle-income countries,332.15582,2019.0
Botswana,BWA,1990,923.52264,Lower-middle-income countries,1588.254,2019.0
Botswana,BWA,2019,1588.254,Upper-middle-income countries,1588.254,2019.0
Brazil,BRA,1990,150020.47,Upper-middle-income countries,170119.67,2019.0
Brazil,BRA,2019,170119.67,Upper-middle-income countries,170119.67,2019.0
Cambodia,KHM,1990,8998.885,Low-income countries,16458.541,2019.0
Cambodia,KHM,2019,16458.541,Lower-middle-income countries,16458.541,2019.0
China,CHN,1990,1531774.6,Low-income countries,2418664.5,2019.0
China,CHN,2019,2418664.5,Upper-middle-income countries,2418664.5,2019.0
Croatia,HRV,1990,13011.602,,9639.795,2019.0
Croatia,HRV,2019,9639.795,High-income countries,9639.795,2019.0
Djibouti,DJI,1990,141.86905,Lower-middle-income countries,491.3395,2019.0
Djibouti,DJI,2019,491.3395,Lower-middle-income countries,491.3395,2019.0
Fiji,FJI,1990,738.02203,Lower-middle-income countries,923.9281,2019.0
Fiji,FJI,2019,923.9281,Upper-middle-income countries,923.9281,2019.0
Finland,FIN,1990,8886.268,High-income countries,6763.1167,2019.0
Finland,FIN,2019,6763.1167,High-income countries,6763.1167,2019.0
Honduras,HND,1990,1550.549,Low-income countries,4226.1978,2019.0
Honduras,HND,2019,4226.1978,Lower-middle-income countries,4226.1978,2019.0
India,IND,1990,637869.5,Low-income countries,1013282.44,2019.0
India,IND,2019,1013282.44,Lower-middle-income countries,1013282.44,2019.0
Kuwait,KWT,1990,537.25226,High-income countries,1524.153,2019.0
Kuwait,KWT,2019,1524.153,High-income countries,1524.153,2019.0
Laos,LAO,1990,5104.4565,Low-income countries,5848.2036,2019.0
Laos,LAO,2019,5848.2036,Lower-middle-income countries,5848.2036,2019.0
Nauru,NRU,1990,11.339679,,11.126723,2019.0
Nauru,NRU,2019,11.126723,High-income countries,11.126723,2019.0
North Korea,PRK,1990,20301.324,Lower-middle-income countries,43764.023,2019.0
North Korea,PRK,2019,43764.023,Low-income countries,43764.023,2019.0
Palau,PLW,1990,18.115435,,30.246752,2019.0
Palau,PLW,2019,30.246752,High-income countries,30.246752,2019.0
Russia,RUS,1990,259268.39,,291356.5,2019.0
Russia,RUS,2019,291356.5,Upper-middle-income countries,291356.5,2019.0
United Arab Emirates,ARE,1990,521.8056,High-income countries,3725.7039,2019.0
United Arab Emirates,ARE,2019,3725.7039,High-income countries,3725.7039,2019.0
