Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - Non-communicable diseases - Sex: Both - Age: Age-standardized (Rate)
China,CHN,1990,26899.54
China,CHN,1995,25225.82
China,CHN,2000,23974.24
China,CHN,2005,22531.4
China,CHN,2010,20410.24
China,CHN,2015,18688.31
China,CHN,2019,18058.96
Kazakhstan,KAZ,1990,27224.34
Kazakhstan,KAZ,1995,33993.0
Kazakhstan,KAZ,2000,33145.49
Kazakhstan,KAZ,2005,33949.98
Kazakhstan,KAZ,2010,30302.71
Kazakhstan,KAZ,2015,26445.66
Kazakhstan,KAZ,2019,24916.93
Kuwait,KWT,1990,19978.55
Kuwait,KWT,1995,18678.78
Kuwait,KWT,2000,19140.17
Kuwait,KWT,2005,18476.62
Kuwait,KWT,2010,17263.37
Kuwait,KWT,2015,16125.09
Kuwait,KWT,2019,16280.53
Mexico,MEX,1990,22537.01
Mexico,MEX,1995,22186.6
Mexico,MEX,2000,21374.95
Mexico,MEX,2005,21051.6
Mexico,MEX,2010,20727.01
Mexico,MEX,2015,20715.05
Mexico,MEX,2019,21022.82
Western Pacific Region (WHO),,1990,24895.01
Western Pacific Region (WHO),,1995,23381.19
Western Pacific Region (WHO),,2000,22196.4
Western Pacific Region (WHO),,2005,21000.76
Western Pacific Region (WHO),,2010,19354.28
Western Pacific Region (WHO),,2015,18097.26
Western Pacific Region (WHO),,2019,17645.67
Yemen,YEM,1990,31269.72
Yemen,YEM,1995,29946.98
Yemen,YEM,2000,28577.4
Yemen,YEM,2005,27513.4
Yemen,YEM,2010,26484.92
Yemen,YEM,2015,26016.58
Yemen,YEM,2019,26255.88
Zimbabwe,ZWE,1990,22297.56
Zimbabwe,ZWE,1995,22042.96
Zimbabwe,ZWE,2000,23533.63
Zimbabwe,ZWE,2005,25031.35
Zimbabwe,ZWE,2010,26658.05
Zimbabwe,ZWE,2015,25729.9
Zimbabwe,ZWE,2019,25297.14
