Entity,Code,Year,Solar (TWh growth - equivalent)
Eastern Africa (EI),,1980,0.0
Eastern Africa (EI),,1990,0.0
Eastern Africa (EI),,2000,0.0
Eastern Africa (EI),,2010,0.1767386
Eastern Africa (EI),,2022,1.3331802
Luxembourg,LUX,2000,0.000118279444
Luxembourg,LUX,2010,0.0019613877
Luxembourg,LUX,2022,0.09312639
Netherlands,NLD,1966,0.0
Netherlands,NLD,1970,0.0
Netherlands,NLD,1980,0.0
Netherlands,NLD,1990,0.0
Netherlands,NLD,2000,0.007215054
Netherlands,NLD,2010,0.040872224
Netherlands,NLD,2022,16.00305
Sweden,SWE,1966,0.0
Sweden,SWE,1970,0.0
Sweden,SWE,1980,0.0
Sweden,SWE,1990,0.0
Sweden,SWE,2000,0.0
Sweden,SWE,2010,0.0054312497
Sweden,SWE,2022,2.9175174
Upper-middle-income countries,,1966,0.0
Upper-middle-income countries,,1970,0.0
Upper-middle-income countries,,1980,0.0
Upper-middle-income countries,,1990,0.008870972
Upper-middle-income countries,,2000,0.047740683
Upper-middle-income countries,,2010,1.2738284
Upper-middle-income countries,,2022,299.77563
