Entity,Code,Year,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)","Employment in agriculture, female (% of female employment) (modeled ILO estimate)",Population (historical estimates),Continent
Afghanistan,AFG,2019,36.6,64.96,37769496.0,
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Bangladesh,BGD,2019,30.14,57.57,165516224.0,
Bhutan,BTN,2019,50.21,64.01,767467.0,
Bolivia,BOL,2019,30.73,30.31,11777318.0,
Brazil,BRA,2019,12.81,4.02,211782880.0,
Burundi,BDI,2019,78.1,93.66,11874838.0,
Cambodia,KHM,2019,32.62,36.57,16207746.0,
Cameroon,CMR,2019,39.79,47.7,25782342.0,
Chad,TCD,2019,76.46,73.39,16126868.0,
China,CHN,2019,27.94,22.01,1421864064.0,
Colombia,COL,2019,22.31,6.6,50187404.0,
Cote d'Ivoire,CIV,2019,46.62,31.04,26147544.0,
Democratic Republic of Congo,COD,2019,57.43,71.51,89906896.0,
Egypt,EGY,2019,20.46,21.21,105618672.0,
El Salvador,SLV,2019,25.63,3.44,6280222.0,
Ethiopia,ETH,2019,73.44,58.71,114120592.0,
Europe,,2019,,,747418251.0,
Gabon,GAB,2019,20.99,45.76,2242788.0,
Ghana,GHA,2019,36.38,22.1,31522294.0,
Greece,GRC,2019,12.31,10.6,10574026.0,
Guatemala,GTM,2019,41.77,9.78,17106338.0,
Guinea,GIN,2019,59.24,61.8,12877537.0,
India,IND,2019,39.56,54.69,1383112064.0,
Iran,IRN,2019,17.06,18.79,86564208.0,
Kenya,KEN,2019,49.55,59.34,50951452.0,
Lesotho,LSO,2019,47.65,39.83,2225710.0,
Liberia,LBR,2019,44.72,40.33,4985290.0,
Madagascar,MDG,2019,68.11,59.94,27533134.0,
Malawi,MWI,2019,71.08,82.0,18867340.0,
Mali,MLI,2019,62.33,62.58,20567430.0,
Mexico,MEX,2019,17.85,3.61,125085312.0,
Morocco,MAR,2019,27.36,52.12,36304408.0,
Myanmar,MMR,2019,53.21,42.44,53040212.0,
Nepal,NPL,2019,52.11,74.08,28832500.0,
Nicaragua,NIC,2019,44.65,8.23,6663919.0,
Niger,NER,2019,74.79,69.47,23443400.0,
Nigeria,NGA,2019,44.48,23.57,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,29.74,65.18,223293280.0,
Paraguay,PRY,2019,22.62,12.81,6530029.0,
Philippines,PHL,2019,28.7,13.61,110380800.0,
Russia,RUS,2019,7.57,4.01,145742288.0,
Sierra Leone,SLE,2019,57.52,51.47,8046830.0,
Singapore,SGP,2019,0.05,0.01,5866408.0,
Somalia,SOM,2019,79.19,83.89,15981312.0,
South America,,2019,,,428318218.0,
South Sudan,SSD,2019,48.24,73.16,10447677.0,
Sri Lanka,LKA,2019,23.63,27.63,21649664.0,
Sudan,SDN,2019,33.62,51.83,43232092.0,
Tanzania,TZA,2019,63.61,66.71,59872584.0,
Thailand,THA,2019,34.07,28.27,71307768.0,
Togo,TGO,2019,37.92,26.87,8243093.0,
Tonga,TON,2019,30.67,1.52,104965.0,
Turkey,TUR,2019,14.85,25.05,83481688.0,
Uganda,UGA,2019,67.66,76.77,42949076.0,
Ukraine,UKR,2019,15.99,11.41,44211100.0,
United States,USA,2019,1.87,0.76,334319680.0,
Uzbekistan,UZB,2019,27.04,23.79,32976946.0,
Vietnam,VNM,2019,36.23,38.3,95776712.0,
Yemen,YEM,2019,26.51,42.28,31546694.0,
