Entity,Code,Year,"Prevalence of obesity among adults, BMI >= 30 (age-standardized estimate) (%) - Sex: male - Age group: 18+  years"
Azerbaijan,AZE,1975,3.7
Azerbaijan,AZE,1980,4.5
Azerbaijan,AZE,1985,5.5
Azerbaijan,AZE,1990,6.6
Azerbaijan,AZE,1995,7.7
Azerbaijan,AZE,2000,9.0
Azerbaijan,AZE,2005,10.6
Azerbaijan,AZE,2010,12.7
Azerbaijan,AZE,2016,15.8
Nauru,NRU,1975,38.2
Nauru,NRU,1980,40.5
Nauru,NRU,1985,43.0
Nauru,NRU,1990,45.7
Nauru,NRU,1995,48.3
Nauru,NRU,2000,50.8
Nauru,NRU,2005,53.4
Nauru,NRU,2010,55.9
Nauru,NRU,2016,58.7
Pakistan,PAK,1975,0.5
Pakistan,PAK,1980,0.7
Pakistan,PAK,1985,1.0
Pakistan,PAK,1990,1.3
Pakistan,PAK,1995,1.8
Pakistan,PAK,2000,2.4
Pakistan,PAK,2005,3.2
Pakistan,PAK,2010,4.3
Pakistan,PAK,2016,6.0
Serbia,SRB,1975,5.2
Serbia,SRB,1980,6.6
Serbia,SRB,1985,8.1
Serbia,SRB,1990,9.8
Serbia,SRB,1995,11.7
Serbia,SRB,2000,13.7
Serbia,SRB,2005,15.9
Serbia,SRB,2010,18.2
Serbia,SRB,2016,21.1
Turkmenistan,TKM,1975,3.8
Turkmenistan,TKM,1980,4.4
Turkmenistan,TKM,1985,5.2
Turkmenistan,TKM,1990,6.1
Turkmenistan,TKM,1995,7.2
Turkmenistan,TKM,2000,8.6
Turkmenistan,TKM,2005,10.5
Turkmenistan,TKM,2010,12.7
Turkmenistan,TKM,2016,15.9
Ukraine,UKR,1975,6.3
Ukraine,UKR,1980,7.8
Ukraine,UKR,1985,9.5
Ukraine,UKR,1990,11.3
Ukraine,UKR,1995,13.0
Ukraine,UKR,2000,14.8
Ukraine,UKR,2005,16.8
Ukraine,UKR,2010,19.0
Ukraine,UKR,2016,22.0
