Entity,Code,Year,Grapes | 00000560 || Production | 005510 || tonnes
Brazil,BRA,1961,450942.0
Brazil,BRA,1970,598016.0
Brazil,BRA,1980,445961.0
Brazil,BRA,1990,804774.0
Brazil,BRA,2000,1024482.0
Brazil,BRA,2010,1355461.0
Brazil,BRA,2021,1748197.0
China,CHN,1961,70000.0
China,CHN,1970,85000.0
China,CHN,1980,110000.0
China,CHN,1990,858525.0
China,CHN,2000,3281700.0
China,CHN,2010,8135300.0
China,CHN,2021,11200000.0
India,IND,1961,70000.0
India,IND,1970,130000.0
India,IND,1980,195850.0
India,IND,1990,408170.0
India,IND,2000,1130000.0
India,IND,2010,880700.0
India,IND,2021,3358000.0
Russia,RUS,2000,278769.0
Russia,RUS,2010,324290.0
Russia,RUS,2021,751503.4
United States,USA,1961,2952820.0
United States,USA,1970,2815279.0
United States,USA,1980,5075760.0
United States,USA,1990,5135600.0
United States,USA,2000,6973801.0
United States,USA,2010,6777731.0
United States,USA,2021,5488470.0
