Entity,Code,Year,Deaths - Meningitis - Sex: Both - Age: All Ages (Rate)
Albania,ALB,1990,3.22
Albania,ALB,1995,2.53
Albania,ALB,2000,1.5
Albania,ALB,2005,1.0
Albania,ALB,2010,0.56
Albania,ALB,2015,0.49
Albania,ALB,2019,0.48
Australia,AUS,1990,0.59
Australia,AUS,1995,0.47
Australia,AUS,2000,0.42
Australia,AUS,2005,0.27
Australia,AUS,2010,0.23
Australia,AUS,2015,0.2
Australia,AUS,2019,0.19
Mongolia,MNG,1990,17.69
Mongolia,MNG,1995,15.15
Mongolia,MNG,2000,6.91
Mongolia,MNG,2005,1.95
Mongolia,MNG,2010,1.05
Mongolia,MNG,2015,0.83
Mongolia,MNG,2019,0.69
