Entity,Code,Year,Government Expenditure (IMF based on Mauro et al. (2015)),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2011,,,1082676070.0,
Argentina,ARG,2011,43.26559,24647.629,41520736.0,
Asia,,2011,,,4268479060.0,
Austria,AUT,2011,52.71051,53179.15,8391201.0,
Bahrain,BHR,2011,32.05186875,46564.71,1212086.0,
Bangladesh,BGD,2011,17.99112519,3571.0586,150211008.0,
Bosnia and Herzegovina,BIH,2011,49.82208027,10934.089,3743143.0,
Brazil,BRA,2011,43.33951,15271.47,198185296.0,
Burundi,BDI,2011,40.90043654,807.665,9455737.0,
Chad,TCD,2011,26.55153843,1682.6577,12317729.0,
Chile,CHL,2011,23.388186,22323.723,17173568.0,
China,CHN,2011,24.4052,9680.098,1357095424.0,
Colombia,COL,2011,30.24392,12578.016,45308896.0,
Cote d'Ivoire,CIV,2011,28.49799873,3404.5247,21562916.0,
Democratic Republic of Congo,COD,2011,31.76074722,870.0738,68654272.0,
Dominican Republic,DOM,2011,18.13044,12905.289,9903743.0,
Egypt,EGY,2011,37.38221904,9762.974,89200056.0,
Ethiopia,ETH,2011,18.73085709,1336.0669,91817936.0,
Europe,,2011,,,738734474.0,
Fiji,FJI,2011,32.13688085,10254.358,908359.0,
France,FRA,2011,58.48595,42862.414,62775272.0,
Greece,GRC,2011,56.89827,30318.404,11004730.0,
Haiti,HTI,2011,33.955957,3047.2747,9954318.0,
Hong Kong,HKG,2011,20.461962,53471.797,7175370.0,
India,IND,2011,31.68571,4374.2324,1257621248.0,
Indonesia,IDN,2011,19.83875,8610.529,247099696.0,
Iran,IRN,2011,25.001489,15302.202,76342968.0,
Iraq,IRQ,2011,45.35017773,8493.082,32378066.0,
Italy,ITA,2011,54.50299,42892.305,60025952.0,
Japan,JPN,2011,41.222902,38149.617,128007256.0,
Kiribati,KIR,2011,91.93608616,1819.6566,109887.0,
Lesotho,LSO,2011,63.85051645,2404.3628,2037687.0,
Libya,LBY,2011,66.58626921,16356.362,6188135.0,
Malawi,MWI,2011,38.30150102,1383.5809,15146095.0,
Mexico,MEX,2011,27.97363,18432.37,114150480.0,
Morocco,MAR,2011,36.85342098,6064.432,32903708.0,
Nepal,NPL,2011,19.56251022,2763.8289,27266398.0,
Niger,NER,2011,19.96558739,1010.32697,17283118.0,
North America,,2011,,,548684151.0,
Oceania,,2011,,,37730469.0,
Pakistan,PAK,2011,23.02741,4082.4495,198602736.0,
Philippines,PHL,2011,20.69499,5995.431,96337912.0,
Portugal,PRT,2011,52.54629,31304.816,10564820.0,
Russia,RUS,2011,37.144233,24972.078,143364544.0,
Saudi Arabia,SAU,2011,35.39891551,44053.996,30150952.0,
Singapore,SGP,2011,17.13189794,81258.086,5281351.0,
Solomon Islands,SLB,2011,51.56960437,2527.8708,553727.0,
South Africa,ZAF,2011,34.59851,13721.686,52443320.0,
South America,,2011,,,397135158.0,
South Korea,KOR,2011,22.497384,35388.977,49169880.0,
Switzerland,CHE,2011,33.871679,66587.85,7910988.0,
Tanzania,TZA,2011,27.96692365,2064.7107,46416032.0,
Tonga,TON,2011,29.81378114,5332.404,107625.0,
Tuvalu,TUV,2011,91.33485958,3512.0325,10719.0,
Uganda,UGA,2011,21.689936,1996.0656,33295738.0,
United Arab Emirates,ARE,2011,23.90840944,57815.17,8575210.0,
United Kingdom,GBR,2011,48.18455,42389.145,63286360.0,
United States,USA,2011,43.72714,54960.906,313876608.0,
Vietnam,VNM,2011,32.29421738,6658.667,88349104.0,
Zambia,ZMB,2011,25.01366875,3146.8445,14265824.0,
Zimbabwe,ZWE,2011,35.99375193,2033.1814,13025789.0,
