Entity,Code,Year,"Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)"
China,CHN,1990,17289
China,CHN,1995,15467
China,CHN,2000,12911
China,CHN,2005,12271
China,CHN,2010,11362
China,CHN,2015,10738
China,CHN,2019,11096
India,IND,1990,23032
India,IND,1995,23612
India,IND,2000,25102
India,IND,2005,24104
India,IND,2010,25111
India,IND,2015,24094
India,IND,2019,25876
Indonesia,IDN,1990,2000
Indonesia,IDN,1995,1843
Indonesia,IDN,2000,1814
Indonesia,IDN,2005,1708
Indonesia,IDN,2010,1574
Indonesia,IDN,2015,1529
Indonesia,IDN,2019,1455
