Entity,Code,Year,Annual CO₂ emissions per unit energy (kg per kilowatt-hour)
Australia,AUS,1965,0.26682848
Australia,AUS,1970,0.25935912
Australia,AUS,1980,0.24207398
Australia,AUS,1990,0.26925874
Australia,AUS,2000,0.26815182
Australia,AUS,2010,0.26875782
Australia,AUS,2022,0.2361438
China,CHN,1965,0.32566607
China,CHN,1970,0.34210664
China,CHN,1980,0.30957752
China,CHN,1990,0.31302306
China,CHN,2000,0.3092469
China,CHN,2010,0.29669407
China,CHN,2022,0.25740352
India,IND,1965,0.2481259
India,IND,1970,0.23793758
India,IND,1980,0.23938236
India,IND,1990,0.25122607
India,IND,2000,0.26217586
India,IND,2010,0.26859012
India,IND,2022,0.279514
South Africa,ZAF,1965,0.36174405
South Africa,ZAF,1970,0.35498467
South Africa,ZAF,1980,0.3533216
South Africa,ZAF,1990,0.30391344
South Africa,ZAF,2000,0.31914315
South Africa,ZAF,2010,0.31651634
South Africa,ZAF,2022,0.30182967
United Kingdom,GBR,1965,0.26858863
United Kingdom,GBR,1970,0.2558081
United Kingdom,GBR,1980,0.24317719
United Kingdom,GBR,1990,0.23997234
United Kingdom,GBR,2000,0.21356326
United Kingdom,GBR,2010,0.20628564
United Kingdom,GBR,2022,0.15682766
United States,USA,1965,0.23543055
United States,USA,1970,0.2383678
United States,USA,1980,0.2317158
United States,USA,1990,0.22652476
United States,USA,2000,0.22640947
United States,USA,2010,0.21885577
United States,USA,2022,0.18982609
World,OWID_WRL,1965,0.2611463
World,OWID_WRL,1970,0.26144052
World,OWID_WRL,1980,0.24994513
World,OWID_WRL,1990,0.2379878
World,OWID_WRL,2000,0.23108087
World,OWID_WRL,2010,0.23567097
World,OWID_WRL,2022,0.2214095
