Entity,Code,Year,Inbound arrivals (tourists) per 1000 people
Armenia,ARM,1995,3.6114252
Armenia,ARM,2000,14.202192
Armenia,ARM,2005,104.68442
Armenia,ARM,2010,232.1559
Armenia,ARM,2015,414.09048
Armenia,ARM,2021,311.71948
Bolivia,BOL,1995,36.217693
Bolivia,BOL,2000,37.124725
Bolivia,BOL,2005,55.87906
Bolivia,BOL,2010,66.41706
Bolivia,BOL,2015,79.530464
Bolivia,BOL,2021,14.901311
Brazil,BRA,1995,12.176229
Brazil,BRA,2000,30.209177
Brazil,BRA,2005,28.68349
Brazil,BRA,2010,26.284227
Brazil,BRA,2015,30.73276
Brazil,BRA,2021,3.4806752
Switzerland,CHE,1995,986.88574
Switzerland,CHE,2000,1088.9646
Switzerland,CHE,2005,973.1522
Switzerland,CHE,2010,1102.9801
Switzerland,CHE,2015,1123.5569
Switzerland,CHE,2021,505.09647
