Entity,Code,Year,Effectiveness (Larson et al (2016)),Importance (Larson et al (2016)),Population (historical estimates),Continent
Afghanistan,AFG,2015,5.8,3.6,33753500.0,Asia
Africa,,2015,,,1201108186.0,
Algeria,DZA,2015,7.8,1.2,39543148.0,Africa
Armenia,ARM,2015,13.9,7.6,2878598.0,Asia
Asia,,2015,,,4458250376.0,
Australia,AUS,2015,4.3,3.5,23820240.0,Oceania
Bosnia and Herzegovina,BIH,2015,26.0,10.9,3524328.0,Europe
Brazil,BRA,2015,4.5,0.7,205188208.0,South America
China,CHN,2015,12.6,13.5,1393715456.0,Asia
Colombia,COL,2015,5.9,3.0,47119728.0,South America
Czechia,CZE,2015,7.3,6.2,10523801.0,Europe
Europe,,2015,,,743294457.0,
Fiji,FJI,2015,11.6,8.5,917209.0,Oceania
France,FRA,2015,17.3,11.7,63809768.0,Europe
Hong Kong,HKG,2015,13.5,12.9,7399845.0,Asia
India,IND,2015,7.5,4.9,1322866560.0,Asia
Indonesia,IDN,2015,7.0,2.0,259091968.0,Asia
Iran,IRN,2015,8.5,0.4,81790848.0,Asia
Ireland,IRL,2015,6.2,5.4,4665764.0,Europe
Japan,JPN,2015,9.9,4.7,127250936.0,Asia
Latvia,LVA,2015,14.3,8.4,1991951.0,Europe
Mexico,MEX,2015,13.9,11.9,120149896.0,North America
Nigeria,NGA,2015,11.3,3.9,183995776.0,Africa
North America,,2015,,,570726015.0,
North Macedonia,MKD,2015,11.3,10.2,2107965.0,Europe
Oceania,,2015,,,40403644.0,
Pakistan,PAK,2015,12.6,6.3,210969296.0,Asia
Panama,PAN,2015,5.1,1.5,3957102.0,North America
Papua New Guinea,PNG,2015,9.9,7.6,8682172.0,Oceania
Philippines,PHL,2015,2.2,0.5,103031360.0,Asia
Poland,POL,2015,10.3,8.3,38553148.0,Europe
Romania,ROU,2015,15.6,10.5,19906078.0,Europe
Russia,RUS,2015,18.4,16.0,144668384.0,Europe
Saudi Arabia,SAU,2015,2.4,1.5,32749838.0,Asia
Slovenia,SVN,2015,16.4,13.2,2080865.0,Europe
South Africa,ZAF,2015,9.9,6.4,55876504.0,Africa
South America,,2015,,,413134461.0,
South Korea,KOR,2015,6.4,4.7,50994396.0,Asia
Turkey,TUR,2015,8.3,3.6,79646176.0,Asia
Ukraine,UKR,2015,15.4,12.2,44982568.0,Europe
United States,USA,2015,9.6,8.8,324607776.0,North America
